FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Fixed Maturity 2027 Bond Fund,2017-08-06,Toyota Motor Corp.,809675,-8248,190916434.09,584.76,524.2,419.42
Global Short Term Credit Fund,2017-04-25,JPMorgan Chase & Co.,530363,2251,192962987.12,908.32,394.61,175.04
International Fixed Duration Fund,2019-12-02,Ping An Insurance (Group) Co. of China Ltd.,527259,6876,234857003.7,330.24,593.85,885.89
Global Cross Asset Fund,2018-07-02,Alibaba Group Holding Ltd.,782566,432,348868216.08,562.07,751.36,498.35
Fixed Maturity 2025 Bond Fund,2020-05-31,Exxon Mobil Corp.,659144,-8644,24434651.52,524.95,577.84,77.21
Fixed Maturity 2027 Bond Fund,2019-05-13,Volkswagen AG,306339,-5750,7218444.95,350.31,428.97,343.41
Subordinated Financials Fund,2022-01-09,Morgan Stanley,986913,-5671,271130679.04,773.43,286.78,303.3
International Fixed Duration Fund,2022-07-10,Allianz SE,797846,-1335,425550749.79,974.45,345.19,250.43
International Fixed Duration Fund,2019-11-05,Allianz SE,396132,9501,82839447.65,687.86,634.64,268.12
Global Cross Asset Fund,2022-08-01,Johnson & Johnson,168997,-6993,33904503.79,693.75,823.4,168.64
Impact Credit Strategies Fund,2019-04-09,"SolarEdge Technologies, Inc.",651615,-9068,90316110.12,285.66,527.91,467.15
Subordinated Financials Fund,2020-07-30,"Goldman Sachs Group, Inc.",611201,7908,324083063.28,627.5,575.89,437.14
Fixed Maturity 2025 Bond Fund,2020-10-12,Chevron Corp.,97600,2577,380574698.57,894.42,27.61,569.32
Global Cross Asset Fund,2022-10-20,Johnson & Johnson,166252,975,41282118.25,47.03,121.43,563.97
Community Savings Bond Fund,2018-08-05,Nestlé SA,17959,-1377,417818769.12,447.68,276.33,127.96
Sustainable Retail Fund,2022-02-06,"The Hain Celestial Group, Inc.",853147,9478,36200829.75,108.67,99.5,907.71
Fixed Maturity 2027 Bond Fund,2022-11-02,Toyota Motor Corp.,666971,-4567,385730254.24,302.35,160.27,432.65
Impact Credit Strategies Fund,2022-04-16,Vestas Wind Systems A/S,504473,2225,141175614.88,188.7,407.73,426.39
Subordinated Financials Fund,2022-04-08,Citigroup Inc.,279859,-393,441265058.01,129.52,278.25,292.49
Subordinated Financials Fund,2021-01-25,Citigroup Inc.,653771,-8209,258619000.35,736.12,760.88,626.79
Impact Credit Strategies Fund,2020-07-18,"SolarEdge Technologies, Inc.",35363,-3610,471768826.89,820.32,701.64,584.8
Global Cross Asset Fund,2019-02-13,Johnson & Johnson,461501,-5553,95290209.02,608.4,963.55,917.7
Global Short Term Credit Fund,2022-07-05,JPMorgan Chase & Co.,386441,9548,364591946.42,638.16,106.99,435.14
Global Cross Asset Fund,2022-04-29,"Berkshire Hathaway, Inc.",694536,8960,194445500.54,127.55,273.93,606.84
Sustainable Retail Fund,2021-11-18,"Tesla, Inc.",701866,2748,373194358.36,189.46,710.58,376.85
Target Maturity 2029 Bond Fund,2020-09-16,Microsoft Corp.,988067,1398,165498638.61,86.05,51.67,746.09
Global Cross Asset Fund,2019-12-15,"Berkshire Hathaway, Inc.",138058,8639,473516181.11,159.46,980.26,315.14
Equity Diversified Selection Fund,2018-06-11,"Facebook, Inc.",995836,-3564,17129248.53,420.1,351.45,542.51
Impact Credit Strategies Fund,2018-02-12,"SolarEdge Technologies, Inc.",554485,3532,441764103.69,415.07,905.41,416.73
Fixed Maturity 2027 Bond Fund,2020-05-15,Ford Motor Co.,422591,9100,235858952.74,262.64,432.68,643.57
Global Short Term Credit Fund,2020-01-16,JPMorgan Chase & Co.,936698,1014,446922437.57,290.61,162.99,816.45
Impact Credit Strategies Fund,2022-03-26,"First Solar, Inc.",638028,4566,263698033.36,164.64,990.14,759.37
International Fixed Duration Fund,2022-03-03,AXA SA,766119,8636,157399548.79,188.49,270.81,873.85
Community Savings Bond Fund,2020-11-02,"Walmart, Inc.",152465,6381,198539293.87,86.54,16.12,398.41
Global Cross Asset Fund,2020-08-05,Johnson & Johnson,409407,9352,415918212.15,517.64,675.72,502.1
Fixed Maturity 2027 Bond Fund,2019-01-15,Ford Motor Co.,220381,-8743,330041953.92,990.59,161.28,487.26
Impact Credit Strategies Fund,2020-10-24,Vestas Wind Systems A/S,623188,-509,386004657.62,683.22,622.1,401.81
Target Maturity 2029 Bond Fund,2020-01-11,"Amazon.com, Inc.",656101,692,402514788.3,188.13,401.08,226.04
International Fixed Duration Fund,2017-07-10,AXA SA,740295,5703,450109409.99,663.56,822.95,226.91
Community Savings Bond Fund,2022-12-12,Nestlé SA,982774,6593,267086004.11,340.5,632.86,815.66
Target Maturity 2029 Bond Fund,2018-03-17,"Apple, Inc.",526690,9371,419102314.03,326.82,963.25,241.43
International Fixed Duration Fund,2021-12-01,AXA SA,319021,-9232,258143603.31,631.12,96.61,129.99
Community Savings Bond Fund,2018-09-14,"Walmart, Inc.",598103,-9624,308092513.83,93.26,538.79,127.25
Community Savings Bond Fund,2022-04-09,Procter & Gamble Co.,804649,-227,70462337.83,975.92,829.19,973.38
Community Savings Bond Fund,2020-09-03,"Walmart, Inc.",936596,-8527,83634351.03,885.59,486.03,453.19
Fixed Maturity 2027 Bond Fund,2022-08-02,Volkswagen AG,249951,1908,482270825.75,427.07,33.85,853.73
Global Short Term Credit Fund,2017-06-12,Bank of America Corp.,712636,-1112,246270336.61,558.39,849.82,83.12
Subordinated Financials Fund,2020-06-24,Citigroup Inc.,80560,8046,83860676.58,69.98,446.33,10.15
Fixed Maturity 2027 Bond Fund,2018-07-06,Ford Motor Co.,115234,4297,36008562.25,363.65,60.18,909.55
Global Short Term Credit Fund,2020-09-10,Bank of America Corp.,261015,8977,315774918.12,370.03,102.41,654.65
Target Maturity 2029 Bond Fund,2021-02-02,Microsoft Corp.,118633,-2632,79834885.07,377.38,80.22,523.12
International Fixed Duration Fund,2020-06-17,Ping An Insurance (Group) Co. of China Ltd.,839999,36,264609411.27,93.02,744.56,606.93
International Fixed Duration Fund,2017-03-10,Allianz SE,861395,-1887,378140761.11,668.02,980.7,153.78
Impact Credit Strategies Fund,2020-12-24,"First Solar, Inc.",178298,-4350,395441933.21,895.63,556.97,807.96
Impact Credit Strategies Fund,2019-07-16,"SolarEdge Technologies, Inc.",434684,1767,350591115.89,437.56,885.78,463.01
International Fixed Duration Fund,2020-10-24,Allianz SE,705608,-9586,25145035.95,739.3,637.84,789.8
Global Cross Asset Fund,2021-02-16,"Berkshire Hathaway, Inc.",130965,-1524,170448146.64,466.11,21.0,533.56
Equity Diversified Selection Fund,2021-08-30,"Netflix, Inc.",180821,-4451,222769930.74,308.4,824.25,915.63
Subordinated Financials Fund,2022-03-18,Morgan Stanley,701078,-8756,431602188.48,69.01,314.7,627.39
Fixed Maturity 2025 Bond Fund,2018-06-10,BP Plc,485421,4545,420991804.64,345.02,134.92,614.02
Global Short Term Credit Fund,2020-10-14,HSBC Holdings Plc,664081,-2626,450732616.05,475.82,789.31,548.98
Target Maturity 2029 Bond Fund,2022-05-12,"Amazon.com, Inc.",41608,-8644,391485469.97,732.74,639.33,185.65
Community Savings Bond Fund,2022-09-08,"Walmart, Inc.",32282,7590,277824530.7,393.71,505.1,234.03
Community Savings Bond Fund,2018-06-21,Nestlé SA,88167,8327,464881864.41,716.16,619.85,330.46
Fixed Maturity 2025 Bond Fund,2022-08-19,Chevron Corp.,591658,4826,259907148.49,19.14,915.03,86.53
International Fixed Duration Fund,2022-06-01,Allianz SE,823462,-3910,142005456.06,445.82,81.48,764.11
Global Cross Asset Fund,2019-03-26,Johnson & Johnson,675824,6513,412278216.08,447.71,87.27,582.47
Target Maturity 2029 Bond Fund,2022-04-19,"Amazon.com, Inc.",283330,6934,436344688.15,601.68,345.07,180.19
Global Cross Asset Fund,2021-08-22,"Berkshire Hathaway, Inc.",370974,5450,138364812.0,991.03,765.77,734.05
Fixed Maturity 2027 Bond Fund,2022-08-30,Volkswagen AG,333243,-8084,236899118.39,434.83,664.17,928.69
International Fixed Duration Fund,2019-09-05,Allianz SE,467513,-8067,469294642.55,187.31,723.1,112.57
Fixed Maturity 2025 Bond Fund,2021-05-18,Exxon Mobil Corp.,463544,-9431,134073760.61,643.19,698.5,497.64
Global Cross Asset Fund,2021-07-12,Johnson & Johnson,498442,8442,218545755.71,787.38,423.84,819.63
Community Savings Bond Fund,2020-07-20,Procter & Gamble Co.,734221,5901,130414755.34,106.01,123.33,296.06
Sustainable Retail Fund,2019-06-11,"Beyond Meat, Inc.",743892,8369,102789228.99,907.01,263.74,980.09
Impact Credit Strategies Fund,2019-03-17,"First Solar, Inc.",492997,6830,99943318.46,988.48,474.14,37.78
Target Maturity 2029 Bond Fund,2018-03-03,"Amazon.com, Inc.",278456,-4417,180101181.2,545.46,252.74,780.62
Equity Diversified Selection Fund,2021-09-06,Google LLC,983674,8547,149756707.96,25.46,696.23,778.42
Community Savings Bond Fund,2018-01-05,Procter & Gamble Co.,866983,-8329,134834284.28,411.56,211.92,118.97
Fixed Maturity 2027 Bond Fund,2019-09-09,Toyota Motor Corp.,698576,-4924,358403286.31,925.74,372.19,418.34
Global Short Term Credit Fund,2021-02-13,HSBC Holdings Plc,248409,6210,119681401.87,551.01,762.56,65.85
Global Short Term Credit Fund,2018-11-08,HSBC Holdings Plc,135242,-6273,24676225.19,811.21,92.45,715.86
Subordinated Financials Fund,2019-05-22,"Goldman Sachs Group, Inc.",497437,7506,307027744.03,485.32,127.45,177.18
Sustainable Retail Fund,2017-08-03,"Tesla, Inc.",122941,5088,387065045.22,943.68,572.83,792.57
Impact Credit Strategies Fund,2018-09-19,"SolarEdge Technologies, Inc.",434898,674,219854322.3,117.08,554.42,86.17
Global Cross Asset Fund,2019-09-01,Alibaba Group Holding Ltd.,953447,9330,338801797.31,281.14,548.14,915.93
Global Short Term Credit Fund,2020-01-23,JPMorgan Chase & Co.,844175,9723,319008184.97,689.57,549.17,535.71
Global Short Term Credit Fund,2017-12-04,JPMorgan Chase & Co.,82112,-4122,376438157.52,253.53,47.46,849.17
Equity Diversified Selection Fund,2017-07-05,"Netflix, Inc.",877882,7234,343542245.51,601.19,257.98,730.88
International Fixed Duration Fund,2020-04-03,Allianz SE,819908,-4952,96955923.46,312.93,714.01,375.63
Subordinated Financials Fund,2022-03-27,"Goldman Sachs Group, Inc.",713953,3137,196354857.28,820.0,939.47,161.29
Equity Diversified Selection Fund,2022-03-19,"Facebook, Inc.",227839,-8900,280806849.6,164.24,908.56,200.57
Equity Diversified Selection Fund,2019-07-31,"Facebook, Inc.",110271,-9789,430456154.98,159.59,574.69,407.42
International Fixed Duration Fund,2019-05-19,AXA SA,143536,84,34335815.97,267.71,573.91,809.12
Target Maturity 2029 Bond Fund,2017-12-15,Microsoft Corp.,439602,3502,433630407.87,392.98,325.57,227.03
Fixed Maturity 2025 Bond Fund,2018-09-03,Exxon Mobil Corp.,486553,-913,488196983.15,243.59,864.38,806.56
Global Short Term Credit Fund,2020-09-21,HSBC Holdings Plc,15778,-1901,247887569.95,843.43,611.0,140.81
Target Maturity 2029 Bond Fund,2021-09-18,"Apple, Inc.",43989,-2521,483290373.23,534.49,362.04,773.64
Global Cross Asset Fund,2021-02-28,Alibaba Group Holding Ltd.,310518,745,241361625.03,466.11,26.75,598.05
Fixed Maturity 2025 Bond Fund,2020-07-20,Chevron Corp.,238435,2368,14127257.33,655.29,209.46,57.83
Equity Diversified Selection Fund,2022-11-15,"Netflix, Inc.",315154,6502,155639446.67,511.05,365.29,777.22
Community Savings Bond Fund,2017-04-01,Nestlé SA,318626,-1306,37163436.63,652.64,499.47,812.94
Community Savings Bond Fund,2019-11-20,"Walmart, Inc.",347427,6472,224424496.55,401.42,311.65,718.75
Fixed Maturity 2027 Bond Fund,2019-02-05,Volkswagen AG,930802,8128,130978655.17,590.94,414.22,467.36
Equity Diversified Selection Fund,2019-01-26,Google LLC,471161,1370,172942682.37,532.03,497.23,817.48
International Fixed Duration Fund,2021-02-15,Allianz SE,439125,8461,447700947.43,734.77,887.04,509.64
Sustainable Retail Fund,2017-01-13,"Beyond Meat, Inc.",57096,1366,54595345.82,114.36,657.8,717.12
Sustainable Retail Fund,2018-04-08,"Tesla, Inc.",368208,-4893,202653994.43,989.61,510.29,463.11
Target Maturity 2029 Bond Fund,2018-05-13,"Apple, Inc.",763020,9433,244197248.94,911.26,733.9,299.88
Impact Credit Strategies Fund,2022-04-11,"SolarEdge Technologies, Inc.",325175,-4006,1269605.48,283.61,463.0,419.7
Fixed Maturity 2027 Bond Fund,2019-08-15,Volkswagen AG,274058,5907,168944024.96,530.82,193.27,640.77
Sustainable Retail Fund,2022-11-25,"Beyond Meat, Inc.",175806,-1937,441620423.19,565.85,17.44,290.06
Impact Credit Strategies Fund,2021-04-10,Vestas Wind Systems A/S,757588,-8543,30118480.33,185.38,841.28,212.74
Equity Diversified Selection Fund,2021-04-25,"Facebook, Inc.",524129,2087,115949861.25,286.21,690.21,402.0
International Fixed Duration Fund,2019-09-28,AXA SA,351497,-6623,96497081.29,542.0,744.72,899.94
Equity Diversified Selection Fund,2019-10-09,"Facebook, Inc.",926343,-5648,175068707.37,92.76,902.29,586.91
International Fixed Duration Fund,2017-12-12,Ping An Insurance (Group) Co. of China Ltd.,271766,-614,480719812.72,829.83,36.49,858.91
Target Maturity 2029 Bond Fund,2018-09-24,"Apple, Inc.",192016,-1813,402753013.02,506.69,384.64,15.1
Global Cross Asset Fund,2020-04-13,Johnson & Johnson,92717,-950,4646631.08,180.24,478.02,539.86
Community Savings Bond Fund,2020-08-19,Nestlé SA,651076,-9451,18252417.86,546.43,309.99,809.65
International Fixed Duration Fund,2020-01-27,AXA SA,182678,5145,85284514.18,501.75,357.74,367.92
Global Short Term Credit Fund,2021-09-23,HSBC Holdings Plc,790576,5743,95794322.38,812.2,147.73,947.11
Global Cross Asset Fund,2017-02-10,Alibaba Group Holding Ltd.,481968,-8926,99276283.36,714.69,974.6,687.56
Sustainable Retail Fund,2021-08-22,"Beyond Meat, Inc.",510285,2874,438554838.22,812.93,959.18,120.85
International Fixed Duration Fund,2017-10-24,Ping An Insurance (Group) Co. of China Ltd.,892668,-1648,117033455.26,884.35,92.6,531.92
Equity Diversified Selection Fund,2019-11-17,"Netflix, Inc.",64342,-25,181489493.44,441.88,763.23,912.29
Impact Credit Strategies Fund,2020-05-03,Vestas Wind Systems A/S,307928,3789,17301907.44,993.02,142.51,99.21
Target Maturity 2029 Bond Fund,2020-09-06,Microsoft Corp.,650267,-9712,475947358.06,612.93,317.36,410.42
Global Short Term Credit Fund,2017-10-22,HSBC Holdings Plc,348518,-6064,387586237.17,541.51,333.4,528.01
Target Maturity 2029 Bond Fund,2017-10-22,"Apple, Inc.",841783,3961,169337724.95,12.98,224.25,22.11
Subordinated Financials Fund,2017-10-03,Morgan Stanley,28278,-2553,49857107.82,489.79,430.07,25.98
Sustainable Retail Fund,2017-01-06,"Tesla, Inc.",996663,-3919,452323008.73,333.05,773.39,892.13
Target Maturity 2029 Bond Fund,2022-12-11,Microsoft Corp.,248254,1560,459796963.05,179.49,965.06,208.0
Fixed Maturity 2027 Bond Fund,2019-08-12,Volkswagen AG,122642,5379,79468231.17,823.51,278.9,643.45
Global Short Term Credit Fund,2022-04-05,JPMorgan Chase & Co.,781284,4206,461140794.49,987.3,239.93,737.0
Fixed Maturity 2025 Bond Fund,2019-11-08,BP Plc,972704,3975,270880021.34,898.44,559.03,41.16
Community Savings Bond Fund,2018-04-30,"Walmart, Inc.",795707,-3977,463385795.98,269.61,313.68,450.22
Community Savings Bond Fund,2020-11-27,Procter & Gamble Co.,392598,170,350633582.89,355.55,293.44,440.7
Subordinated Financials Fund,2017-05-15,Citigroup Inc.,245932,1742,229095765.02,468.65,837.99,593.21
Community Savings Bond Fund,2021-12-18,Procter & Gamble Co.,331780,-3916,37976950.34,225.3,110.07,336.78
Impact Credit Strategies Fund,2021-12-24,"SolarEdge Technologies, Inc.",553186,9997,263247459.78,217.78,954.36,886.05
Equity Diversified Selection Fund,2022-08-15,"Netflix, Inc.",625356,9781,296462980.88,182.25,868.0,556.87
Global Cross Asset Fund,2022-07-15,Johnson & Johnson,166960,-2496,274895648.8,866.59,300.0,730.6
Subordinated Financials Fund,2018-07-21,Citigroup Inc.,797558,-7570,295864996.75,288.03,911.93,272.38
Target Maturity 2029 Bond Fund,2020-12-23,"Amazon.com, Inc.",899753,-5851,250703846.84,142.58,130.83,272.42
Impact Credit Strategies Fund,2021-11-16,"First Solar, Inc.",923918,8240,450846789.73,262.83,414.24,446.93
Sustainable Retail Fund,2019-05-20,"Tesla, Inc.",638808,3675,471218202.17,173.2,577.89,44.69
Equity Diversified Selection Fund,2022-10-04,"Netflix, Inc.",908514,-8950,445756792.31,29.82,323.48,499.23
Fixed Maturity 2027 Bond Fund,2017-04-06,Volkswagen AG,247558,816,454312179.77,820.32,644.19,146.97
Global Cross Asset Fund,2019-11-28,Johnson & Johnson,228117,9916,430767265.01,188.86,203.91,533.06
International Fixed Duration Fund,2017-07-15,AXA SA,628376,-514,102838477.21,925.41,970.55,111.72
Equity Diversified Selection Fund,2022-11-21,"Netflix, Inc.",726509,3203,24672993.17,703.58,288.74,595.77
Equity Diversified Selection Fund,2020-08-22,"Facebook, Inc.",16231,540,157443407.62,900.99,248.19,952.49
Global Cross Asset Fund,2018-05-11,Johnson & Johnson,717423,-7757,122523070.46,130.39,297.5,119.83
Equity Diversified Selection Fund,2022-07-14,"Netflix, Inc.",261094,-5015,128417726.69,521.86,519.73,42.78
Sustainable Retail Fund,2020-11-10,"Tesla, Inc.",63294,-4876,307106549.88,540.86,892.82,71.18
Fixed Maturity 2025 Bond Fund,2020-01-28,BP Plc,50114,-294,201790921.7,697.59,719.94,57.64
Fixed Maturity 2027 Bond Fund,2021-03-10,Volkswagen AG,773012,-1540,352100295.62,851.85,197.2,223.56
Impact Credit Strategies Fund,2020-03-02,"First Solar, Inc.",832524,-2731,76157618.69,365.23,791.34,284.03
Subordinated Financials Fund,2022-09-23,Citigroup Inc.,182351,3172,478396928.92,67.42,761.48,183.21
Sustainable Retail Fund,2021-06-24,"Beyond Meat, Inc.",669159,8117,140567500.18,492.36,891.91,618.59
Subordinated Financials Fund,2018-07-22,Citigroup Inc.,376484,4469,321518592.54,167.46,802.69,965.11
Subordinated Financials Fund,2017-03-27,Citigroup Inc.,142022,3964,468954650.07,165.58,69.56,682.18
Target Maturity 2029 Bond Fund,2019-06-07,"Apple, Inc.",614088,-9517,412320755.71,199.37,590.61,39.54
Equity Diversified Selection Fund,2020-05-26,"Facebook, Inc.",67755,-8960,344927976.18,776.74,646.98,649.92
International Fixed Duration Fund,2020-09-13,Allianz SE,966446,1835,435538399.75,541.4,407.02,730.57
Global Short Term Credit Fund,2019-01-25,HSBC Holdings Plc,608393,-2779,245512745.54,458.07,647.85,360.73
Equity Diversified Selection Fund,2020-12-17,Google LLC,598375,3373,248904803.09,661.64,199.48,124.79
Fixed Maturity 2027 Bond Fund,2022-04-08,Toyota Motor Corp.,690761,-9450,284669213.32,511.57,627.29,104.15
Global Cross Asset Fund,2021-10-03,Alibaba Group Holding Ltd.,302339,-7193,278506291.09,459.36,165.26,777.68
Equity Diversified Selection Fund,2018-03-12,"Facebook, Inc.",572684,163,63988827.45,967.72,966.16,262.13
Target Maturity 2029 Bond Fund,2017-08-09,"Amazon.com, Inc.",767955,1007,78390220.67,412.12,680.73,899.23
Equity Diversified Selection Fund,2020-08-06,"Facebook, Inc.",771048,7236,292244048.17,483.25,352.92,344.96
Global Short Term Credit Fund,2022-09-11,JPMorgan Chase & Co.,849008,-3702,406365691.83,874.54,129.87,267.92
Subordinated Financials Fund,2022-07-28,Citigroup Inc.,598045,-414,460570878.73,653.63,975.14,383.44
International Fixed Duration Fund,2018-07-23,AXA SA,351062,-5694,300724650.55,236.23,792.29,462.96
Global Cross Asset Fund,2022-09-30,Johnson & Johnson,802157,-6225,367874424.03,506.53,54.51,832.08
Fixed Maturity 2025 Bond Fund,2021-03-29,Chevron Corp.,334837,-7251,158852129.02,701.5,259.19,240.1
Community Savings Bond Fund,2022-04-01,Nestlé SA,550136,4971,178000160.24,187.3,21.21,974.98
Fixed Maturity 2027 Bond Fund,2021-06-21,Toyota Motor Corp.,674310,4746,256122358.23,784.65,90.57,345.12
Equity Diversified Selection Fund,2019-06-21,"Netflix, Inc.",361232,-6192,135872934.69,105.24,489.75,324.31
Global Short Term Credit Fund,2021-12-25,HSBC Holdings Plc,488905,-5943,133567863.19,320.6,104.9,608.99
Subordinated Financials Fund,2020-02-05,"Goldman Sachs Group, Inc.",921431,478,249149471.28,792.55,814.86,380.94
Global Cross Asset Fund,2021-10-12,Johnson & Johnson,990117,5475,189364224.39,115.06,467.07,77.19
International Fixed Duration Fund,2019-08-15,Allianz SE,645721,4551,279520058.03,206.81,407.77,640.86
Community Savings Bond Fund,2022-11-25,Nestlé SA,957336,9276,404974509.99,575.71,945.63,499.13
Fixed Maturity 2027 Bond Fund,2019-08-31,Ford Motor Co.,639639,-4448,1226333.14,464.14,208.89,306.34
International Fixed Duration Fund,2022-06-27,AXA SA,97113,8132,312322861.94,843.06,203.83,586.12
Subordinated Financials Fund,2020-04-21,"Goldman Sachs Group, Inc.",361654,1008,35664028.81,932.08,953.44,413.03
Fixed Maturity 2027 Bond Fund,2018-04-11,Toyota Motor Corp.,544674,4965,347175716.87,296.7,721.58,729.28
Sustainable Retail Fund,2020-11-17,"Beyond Meat, Inc.",266485,8884,202051469.5,531.06,455.94,635.1
Fixed Maturity 2025 Bond Fund,2017-10-24,BP Plc,693586,1939,21652161.19,177.55,609.39,111.49
International Fixed Duration Fund,2021-04-21,AXA SA,594471,-280,101265560.9,50.18,793.2,896.37
Equity Diversified Selection Fund,2021-03-12,"Facebook, Inc.",482565,2898,19381400.46,144.65,203.41,721.97
Target Maturity 2029 Bond Fund,2022-01-21,Microsoft Corp.,207378,-2525,331330397.87,635.97,686.89,650.6
Impact Credit Strategies Fund,2020-12-05,Vestas Wind Systems A/S,872330,3953,204968299.03,333.77,804.16,253.99
Community Savings Bond Fund,2018-06-14,"Walmart, Inc.",573269,7528,402248098.98,496.9,497.97,343.86
Global Cross Asset Fund,2018-12-20,"Berkshire Hathaway, Inc.",930577,-7009,231224295.01,785.25,485.56,203.26
Target Maturity 2029 Bond Fund,2022-01-02,"Apple, Inc.",541727,-7117,312052884.11,789.88,269.46,751.75
Target Maturity 2029 Bond Fund,2021-01-28,"Apple, Inc.",808770,8054,65880511.45,598.81,575.94,194.72
Target Maturity 2029 Bond Fund,2017-09-09,"Apple, Inc.",414029,8461,318108485.83,484.93,570.96,728.93
Global Short Term Credit Fund,2022-05-30,Bank of America Corp.,288014,4659,66019415.73,803.22,830.85,322.73
International Fixed Duration Fund,2017-10-22,AXA SA,99471,9264,443943750.13,375.35,488.6,666.8
Global Short Term Credit Fund,2020-02-29,Bank of America Corp.,57784,1739,27101875.45,840.9,487.42,875.77
Equity Diversified Selection Fund,2017-12-02,Google LLC,331909,4499,462632654.7,893.41,516.45,549.48
Community Savings Bond Fund,2019-08-15,Procter & Gamble Co.,894276,-1727,326307290.12,750.19,262.8,752.35
Global Cross Asset Fund,2017-03-18,"Berkshire Hathaway, Inc.",442008,9489,250014939.74,882.54,120.6,36.58
Sustainable Retail Fund,2018-04-15,"Beyond Meat, Inc.",589322,6026,135277714.14,412.87,75.66,518.16
Global Short Term Credit Fund,2021-05-14,Bank of America Corp.,285272,-5339,386810104.8,835.99,358.67,907.17
Equity Diversified Selection Fund,2021-08-22,Google LLC,738601,8478,96567441.56,326.15,133.0,593.06
International Fixed Duration Fund,2020-01-01,AXA SA,329654,-8313,389834182.7,273.87,703.35,484.4
Sustainable Retail Fund,2020-07-09,"The Hain Celestial Group, Inc.",50401,-6052,273752005.83,607.0,754.71,196.62
Subordinated Financials Fund,2018-11-13,Citigroup Inc.,972014,9494,456878695.38,893.0,199.3,450.38
Fixed Maturity 2025 Bond Fund,2020-07-11,Chevron Corp.,461078,-2855,439837732.78,509.02,935.23,795.98
International Fixed Duration Fund,2020-06-07,Ping An Insurance (Group) Co. of China Ltd.,837466,3759,267700167.24,924.46,541.87,907.88
Fixed Maturity 2025 Bond Fund,2018-03-12,Exxon Mobil Corp.,113534,8997,461216670.89,969.74,90.92,855.66
Fixed Maturity 2025 Bond Fund,2022-12-17,Exxon Mobil Corp.,862456,-4165,483183141.15,263.92,138.42,199.86
International Fixed Duration Fund,2019-09-13,AXA SA,478658,-2827,24218473.06,101.03,592.2,271.22
Fixed Maturity 2027 Bond Fund,2017-03-22,Ford Motor Co.,715372,-6945,326474325.62,505.13,432.09,879.74
Subordinated Financials Fund,2022-09-03,Morgan Stanley,263296,2958,164340677.62,534.44,894.56,197.1
Fixed Maturity 2025 Bond Fund,2017-01-25,BP Plc,72125,-713,448896608.19,548.33,984.03,776.34
Global Short Term Credit Fund,2018-10-02,JPMorgan Chase & Co.,800732,9265,266708936.68,266.49,513.75,851.55
Community Savings Bond Fund,2021-08-22,"Walmart, Inc.",702359,8606,483006023.88,601.82,69.93,483.84
Global Cross Asset Fund,2020-03-25,Johnson & Johnson,372043,-7408,84183522.58,677.46,735.88,516.54
Impact Credit Strategies Fund,2021-11-08,"SolarEdge Technologies, Inc.",714984,-5488,21289038.54,416.54,48.18,57.28
International Fixed Duration Fund,2020-12-21,Allianz SE,120750,-6354,379722022.08,942.97,696.71,661.4
Impact Credit Strategies Fund,2018-08-01,"SolarEdge Technologies, Inc.",714914,-2359,251726667.04,15.34,861.4,872.91
Global Cross Asset Fund,2019-01-19,Johnson & Johnson,542758,1270,3948894.92,827.33,438.7,743.08
Subordinated Financials Fund,2022-03-08,Citigroup Inc.,340067,493,286993873.3,66.19,778.52,836.84
Community Savings Bond Fund,2020-01-22,"Walmart, Inc.",121814,4127,107634818.53,933.76,344.89,864.25
Global Short Term Credit Fund,2019-11-23,JPMorgan Chase & Co.,123237,394,329677039.38,356.36,317.3,989.74
Fixed Maturity 2027 Bond Fund,2022-06-09,Volkswagen AG,447035,6740,46283389.91,615.7,141.15,563.95
Target Maturity 2029 Bond Fund,2021-12-13,Microsoft Corp.,199567,2451,80847838.09,285.36,399.66,324.64
Community Savings Bond Fund,2020-04-11,Nestlé SA,863050,-1387,233077005.37,18.98,568.39,857.15
Impact Credit Strategies Fund,2019-10-29,"SolarEdge Technologies, Inc.",524891,-7837,256411310.95,275.25,855.12,122.54
Equity Diversified Selection Fund,2020-03-06,Google LLC,469440,-8091,249295893.58,91.0,616.38,497.02
Global Short Term Credit Fund,2021-01-14,JPMorgan Chase & Co.,745558,-1177,91442294.97,932.42,939.03,284.86
Fixed Maturity 2027 Bond Fund,2021-03-01,Toyota Motor Corp.,501072,-4864,114605582.04,13.05,527.74,23.83
Fixed Maturity 2025 Bond Fund,2021-03-06,Chevron Corp.,274962,-848,205144102.84,683.27,954.59,610.73
International Fixed Duration Fund,2018-04-12,Ping An Insurance (Group) Co. of China Ltd.,787311,138,27798423.84,489.85,567.68,201.7
Global Short Term Credit Fund,2019-04-27,JPMorgan Chase & Co.,692779,-4256,122751335.9,58.39,332.91,107.05
International Fixed Duration Fund,2017-04-22,AXA SA,543409,9648,409285592.33,674.59,207.05,602.38
Community Savings Bond Fund,2017-10-17,Procter & Gamble Co.,150895,8313,185793447.8,560.8,820.23,64.9
Global Cross Asset Fund,2021-04-23,Johnson & Johnson,631871,-6461,55113286.01,986.08,844.43,347.63
Global Cross Asset Fund,2019-08-26,"Berkshire Hathaway, Inc.",18407,6941,409938715.68,604.4,65.06,340.28
