FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Fixed Maturity 2025 Bond Fund,2020-12-05,Sony Group Corp.,143073,96,19563305,981,226,444
Impact Credit Strategies Fund,2022-07-10,"Taiwan Semiconductor Manufacturing Co., Ltd.",979383,-4755,16121203,856,675,134
Global Short Term Credit Fund,2018-02-09,Gazprom PJSC,95325,-2211,288434415,59,723,566
Global Cross Asset Fund,2020-09-12,TotalEnergies SE,862623,-40,514750482,991,41,510
Global Cross Asset Fund,2021-07-08,Saudi Arabian Oil Co.,850168,4585,723042159,217,829,309
Sustainable Retail Fund,2019-12-20,"PetroChina Co., Ltd.",120630,3656,203620984,979,384,78
Global Short Term Credit Fund,2017-08-12,Deutsche Telekom AG,603509,2080,357142666,839,773,309
Equity Diversified Selection Fund,2020-09-04,Saudi Arabian Oil Co.,877334,-1461,940114175,953,498,366
Global Short Term Credit Fund,2021-08-14,Bayerische Motoren Werke AG,686115,67,102695241,914,604,368
Sustainable Retail Fund,2017-01-25,"Samsung Electronics Co., Ltd.",863446,-2264,375868633,252,638,690
Equity Diversified Selection Fund,2019-09-23,Bayerische Motoren Werke AG,803781,-4569,799065744,370,537,718
Target Maturity 2029 Bond Fund,2019-11-06,"UnitedHealth Group, Inc.",358224,-4377,734894668,11,255,233
Community Savings Bond Fund,2019-09-14,Deutsche Telekom AG,290708,3791,864101885,182,139,523
Target Maturity 2029 Bond Fund,2018-08-21,China Mobile Ltd.,513123,2179,695984257,691,185,297
European High Yield Bond Fund,2020-05-04,"AT&T, Inc.",35627,-3579,339869326,326,209,38
European High Yield Bond Fund,2018-07-18,Shell Plc,494651,4048,400597045,228,411,743
Fixed Maturity 2025 Bond Fund,2017-04-29,Intel Corp.,44871,-420,218286352,544,366,286
Target Maturity 2029 Bond Fund,2017-03-20,"PetroChina Co., Ltd.",104316,4777,455614537,211,364,702
Sustainable Retail Fund,2021-07-03,Deutsche Telekom AG,600802,4165,492851023,959,686,506
Target Maturity 2029 Bond Fund,2020-04-29,Comcast Corp.,129893,3842,49839406,362,691,353
Equity Diversified Selection Fund,2022-10-13,"AT&T, Inc.",412829,2018,843833979,622,295,235
Sustainable Retail Fund,2020-08-28,"AbbVie, Inc.",138911,919,410926012,259,134,443
Impact Credit Strategies Fund,2021-05-01,Pfizer Inc.,917211,-1136,997873564,947,188,827
Equity Diversified Selection Fund,2020-08-29,"AbbVie, Inc.",623416,-68,863362563,660,132,955
Target Maturity 2029 Bond Fund,2022-08-25,"AbbVie, Inc.",861120,4491,127802473,495,960,138
Community Savings Bond Fund,2019-11-07,"Taiwan Semiconductor Manufacturing Co., Ltd.",974237,-422,60658446,557,523,213
International Fixed Duration Fund,2018-03-22,Sony Group Corp.,839541,-2176,528214797,152,675,597
Sustainable Retail Fund,2017-03-26,Saudi Arabian Oil Co.,517599,-1087,618804395,722,475,846
Community Savings Bond Fund,2017-05-10,"AbbVie, Inc.",637565,4013,759997258,715,169,912
Global Cross Asset Fund,2020-11-27,China Mobile Ltd.,794247,-234,69473217,718,964,394
International Fixed Duration Fund,2019-11-14,Deutsche Telekom AG,909112,-435,463860046,873,215,77
Equity Diversified Selection Fund,2017-09-24,Mercedes-Benz Group AG,772358,-4079,567689625,613,220,723
Fixed Maturity 2025 Bond Fund,2022-02-07,Sony Group Corp.,732641,2939,370983631,391,933,60
European High Yield Bond Fund,2021-05-23,Gazprom PJSC,250855,-4252,909969661,179,721,295
Global Cross Asset Fund,2019-03-24,Petróleo Brasileiro SA,179789,1465,263033962,99,975,288
Sustainable Retail Fund,2022-03-28,"Taiwan Semiconductor Manufacturing Co., Ltd.",531817,4573,508517679,269,568,609
Global Cross Asset Fund,2017-11-07,Pfizer Inc.,376082,2516,344720141,314,21,526
European High Yield Bond Fund,2020-10-31,Bayerische Motoren Werke AG,483515,2073,357153780,848,110,696
Equity Diversified Selection Fund,2019-10-12,"Samsung Electronics Co., Ltd.",740231,-3021,335781704,35,45,43
Fixed Maturity 2025 Bond Fund,2022-10-19,Intel Corp.,760559,2902,538338184,411,25,788
Target Maturity 2029 Bond Fund,2021-10-01,"PetroChina Co., Ltd.",927071,1032,696018755,130,706,209
International Fixed Duration Fund,2022-04-26,"AT&T, Inc.",600566,959,670107573,224,20,691
European High Yield Bond Fund,2022-12-13,"AT&T, Inc.",958896,-714,288723445,852,776,356
Fixed Maturity 2027 Bond Fund,2022-06-22,Intel Corp.,456340,-3282,533314019,1000,670,682
Global Short Term Credit Fund,2018-08-05,"UnitedHealth Group, Inc.",109344,3622,269694325,704,505,731
Equity Diversified Selection Fund,2017-10-18,Deutsche Telekom AG,687531,1998,682141183,816,738,110
Equity Diversified Selection Fund,2017-09-30,Saudi Arabian Oil Co.,344494,-1439,132351348,814,125,176
Global Short Term Credit Fund,2018-07-30,"Taiwan Semiconductor Manufacturing Co., Ltd.",148291,975,702026887,734,62,642
Fixed Maturity 2027 Bond Fund,2020-08-10,"Verizon Communications, Inc.",63027,-4160,382020316,278,86,112
Fixed Maturity 2025 Bond Fund,2021-11-15,"AbbVie, Inc.",881916,-3509,809924587,464,148,520
Fixed Maturity 2025 Bond Fund,2019-06-20,Pfizer Inc.,208580,4461,403303088,174,79,29
Fixed Maturity 2025 Bond Fund,2017-03-19,Deutsche Telekom AG,447066,-1109,261321335,393,608,39
Target Maturity 2029 Bond Fund,2017-04-05,Tencent Holdings Ltd.,495910,192,550994453,271,250,639
Impact Credit Strategies Fund,2022-01-26,"Taiwan Semiconductor Manufacturing Co., Ltd.",339195,2400,952630463,230,39,644
Impact Credit Strategies Fund,2017-11-19,Petróleo Brasileiro SA,376891,-2202,394350994,488,707,960
Target Maturity 2029 Bond Fund,2017-02-16,Gazprom PJSC,595632,1381,876631853,845,25,669
Equity Diversified Selection Fund,2017-06-14,Deutsche Telekom AG,239314,-563,617582350,77,330,603
Target Maturity 2029 Bond Fund,2017-08-25,"Samsung Electronics Co., Ltd.",985867,2055,930117701,154,160,849
Equity Diversified Selection Fund,2021-05-02,Gazprom PJSC,539642,3375,797688976,60,892,546
Fixed Maturity 2027 Bond Fund,2020-11-30,"Samsung Electronics Co., Ltd.",57138,-1395,140590148,324,521,803
Community Savings Bond Fund,2019-07-01,China Mobile Ltd.,162650,4007,692835797,236,749,447
Global Cross Asset Fund,2022-11-03,China Mobile Ltd.,1810,-3511,263082239,81,904,905
Target Maturity 2029 Bond Fund,2018-11-14,Deutsche Telekom AG,406647,4111,314426407,296,827,117
Impact Credit Strategies Fund,2021-08-26,Petróleo Brasileiro SA,216207,4287,84473432,249,252,158
Community Savings Bond Fund,2022-06-13,"PetroChina Co., Ltd.",508734,-2729,943694293,947,519,62
Global Short Term Credit Fund,2021-12-25,"Taiwan Semiconductor Manufacturing Co., Ltd.",97069,-4076,319177312,103,638,83
Target Maturity 2029 Bond Fund,2021-02-25,Comcast Corp.,658352,4879,186906735,334,528,111
Community Savings Bond Fund,2019-03-01,Reliance Industries Ltd.,947380,3168,451550818,638,983,115
Target Maturity 2029 Bond Fund,2017-02-17,Shell Plc,786110,-2249,319322080,867,138,239
Community Savings Bond Fund,2021-02-26,Gazprom PJSC,494512,-2145,944669037,325,621,151
International Fixed Duration Fund,2017-02-07,Reliance Industries Ltd.,485025,2403,552198760,868,901,356
Community Savings Bond Fund,2020-04-16,Saudi Arabian Oil Co.,880447,-3592,917175169,145,311,983
Global Cross Asset Fund,2019-11-24,"Verizon Communications, Inc.",42727,-1334,637153767,243,204,23
Target Maturity 2029 Bond Fund,2019-07-26,"Samsung Electronics Co., Ltd.",761666,-2837,502314349,213,436,495
Target Maturity 2029 Bond Fund,2017-01-24,"AT&T, Inc.",936680,-1644,696691776,813,493,31
Sustainable Retail Fund,2019-12-23,TotalEnergies SE,951958,517,111178682,39,40,633
Equity Diversified Selection Fund,2021-08-02,"AbbVie, Inc.",999053,339,418886320,518,212,427
International Fixed Duration Fund,2017-12-25,Tencent Holdings Ltd.,90771,-729,364902725,896,775,412
Target Maturity 2029 Bond Fund,2022-08-08,Intel Corp.,914639,2316,775241595,701,400,179
Global Cross Asset Fund,2021-10-16,Mercedes-Benz Group AG,690696,3920,989849838,929,593,174
Target Maturity 2029 Bond Fund,2017-03-04,Saudi Arabian Oil Co.,222424,-4957,475538301,272,288,529
Community Savings Bond Fund,2018-08-23,"AbbVie, Inc.",800044,184,846368194,247,973,651
European High Yield Bond Fund,2017-10-02,"Taiwan Semiconductor Manufacturing Co., Ltd.",444644,-4778,173267304,67,480,404
Target Maturity 2029 Bond Fund,2019-03-07,Gazprom PJSC,645775,-2947,550399733,826,876,814
Community Savings Bond Fund,2022-04-06,Tencent Holdings Ltd.,585873,4154,157880011,645,872,300
Target Maturity 2029 Bond Fund,2021-02-21,Comcast Corp.,517847,3269,866725337,692,212,360
Global Short Term Credit Fund,2017-10-06,"UnitedHealth Group, Inc.",966778,4905,615109545,654,456,857
Community Savings Bond Fund,2021-01-03,Gazprom PJSC,737847,-4396,132569758,950,811,839
Community Savings Bond Fund,2022-05-11,"Samsung Electronics Co., Ltd.",170318,2227,106189280,852,85,493
Community Savings Bond Fund,2020-12-03,"Verizon Communications, Inc.",208336,3842,375737818,774,443,681
Impact Credit Strategies Fund,2019-10-06,Bayerische Motoren Werke AG,934549,1328,880438379,289,597,126
Target Maturity 2029 Bond Fund,2017-07-27,Shell Plc,743464,4896,487362546,975,905,998
Sustainable Retail Fund,2017-11-17,TotalEnergies SE,700668,-3041,440256615,738,282,189
Global Short Term Credit Fund,2019-04-21,Deutsche Telekom AG,465073,-3605,100804497,788,293,696
Target Maturity 2029 Bond Fund,2022-10-02,Shell Plc,261213,-4191,117653780,234,292,321
European High Yield Bond Fund,2022-11-10,"Taiwan Semiconductor Manufacturing Co., Ltd.",756175,1182,227375653,621,723,951
International Fixed Duration Fund,2018-07-17,Petróleo Brasileiro SA,235386,-4681,357494991,209,982,631
Sustainable Retail Fund,2019-06-28,Intel Corp.,141675,3090,617236605,100,428,839
European High Yield Bond Fund,2017-01-06,TotalEnergies SE,148401,1116,879784073,853,877,532
Global Cross Asset Fund,2020-06-10,Saudi Arabian Oil Co.,790160,-4831,426367879,307,114,428
Equity Diversified Selection Fund,2022-08-17,Reliance Industries Ltd.,339681,-2893,872965779,801,487,925
Global Short Term Credit Fund,2019-12-28,Industrial & Commercial Bank of China Ltd.,456227,-3640,922573159,315,294,198
International Fixed Duration Fund,2022-11-22,Sony Group Corp.,403937,1777,757071683,578,997,989
Global Short Term Credit Fund,2017-06-19,Pfizer Inc.,874805,1528,90826591,840,572,74
Community Savings Bond Fund,2020-01-27,Bayerische Motoren Werke AG,210203,-961,118211660,764,38,655
Global Cross Asset Fund,2018-10-17,Intel Corp.,731444,3007,385281879,438,171,789
European High Yield Bond Fund,2018-02-05,"Verizon Communications, Inc.",170674,1847,887711712,13,299,766
International Fixed Duration Fund,2022-05-27,"Taiwan Semiconductor Manufacturing Co., Ltd.",194953,-763,800004046,847,829,206
Fixed Maturity 2027 Bond Fund,2018-02-26,Gazprom PJSC,759326,-648,683650710,590,564,39
European High Yield Bond Fund,2022-10-01,Comcast Corp.,557314,-1662,411176448,528,210,380
Impact Credit Strategies Fund,2019-09-10,Petróleo Brasileiro SA,362405,-4001,157363669,387,334,304
Impact Credit Strategies Fund,2019-05-20,"Taiwan Semiconductor Manufacturing Co., Ltd.",332466,-2922,783658627,750,341,508
Impact Credit Strategies Fund,2019-12-16,Saudi Arabian Oil Co.,210140,4002,900252792,375,750,293
Fixed Maturity 2027 Bond Fund,2018-11-10,Industrial & Commercial Bank of China Ltd.,721380,3246,150426451,812,760,537
European High Yield Bond Fund,2020-09-13,Pfizer Inc.,710093,4422,963063725,685,944,359
Target Maturity 2029 Bond Fund,2022-04-05,"Samsung Electronics Co., Ltd.",876366,-1537,958053108,450,287,928
Fixed Maturity 2025 Bond Fund,2019-06-23,Reliance Industries Ltd.,726328,-2445,53311019,729,108,847
Global Short Term Credit Fund,2018-08-14,Saudi Arabian Oil Co.,375192,-3949,811964035,610,62,123
Fixed Maturity 2027 Bond Fund,2020-06-13,Tencent Holdings Ltd.,975692,2548,453201729,353,121,647
Target Maturity 2029 Bond Fund,2022-01-28,Reliance Industries Ltd.,568287,-820,881524594,880,161,827
Global Cross Asset Fund,2017-02-15,"AbbVie, Inc.",267091,3955,674392331,167,42,989
International Fixed Duration Fund,2021-12-24,Shell Plc,363452,1306,754911602,886,319,132
Fixed Maturity 2025 Bond Fund,2019-03-29,Saudi Arabian Oil Co.,261583,3036,865125186,928,463,553
Impact Credit Strategies Fund,2018-11-20,"AT&T, Inc.",11567,-752,412459886,39,767,547
Impact Credit Strategies Fund,2018-05-06,"Verizon Communications, Inc.",704133,-3174,244781515,810,227,333
International Fixed Duration Fund,2018-10-09,"PetroChina Co., Ltd.",249107,3407,396002228,651,986,151
Global Short Term Credit Fund,2018-02-20,"UnitedHealth Group, Inc.",799529,-4359,345103115,276,498,994
Target Maturity 2029 Bond Fund,2018-11-24,Reliance Industries Ltd.,622659,1799,421563911,285,31,326
Global Cross Asset Fund,2017-09-23,"Verizon Communications, Inc.",456742,1233,626047143,827,211,527
European High Yield Bond Fund,2019-05-17,Saudi Arabian Oil Co.,548482,-163,312526366,38,140,697
International Fixed Duration Fund,2020-02-12,"Samsung Electronics Co., Ltd.",755734,1616,324121011,994,909,255
Target Maturity 2029 Bond Fund,2020-11-02,Comcast Corp.,892503,2321,947958175,692,532,615
International Fixed Duration Fund,2018-06-17,Gazprom PJSC,837136,-1346,935699998,305,271,600
Global Cross Asset Fund,2017-12-29,Mercedes-Benz Group AG,479831,4850,374242097,40,297,881
Global Cross Asset Fund,2022-02-08,Petróleo Brasileiro SA,259504,2738,487767364,309,239,233
Fixed Maturity 2027 Bond Fund,2019-04-10,Reliance Industries Ltd.,799167,-2521,820816688,198,37,168
Global Cross Asset Fund,2017-06-24,"AbbVie, Inc.",319776,-2126,752627503,642,183,360
Fixed Maturity 2027 Bond Fund,2022-01-11,"Verizon Communications, Inc.",966516,-1082,193363187,811,377,706
Community Savings Bond Fund,2018-09-23,"PetroChina Co., Ltd.",26678,-3919,433742524,846,609,560
Fixed Maturity 2027 Bond Fund,2017-10-21,China Mobile Ltd.,612367,2257,32481772,420,853,587
Fixed Maturity 2025 Bond Fund,2022-03-20,Reliance Industries Ltd.,171149,1912,154655865,553,222,777
European High Yield Bond Fund,2017-01-06,"Samsung Electronics Co., Ltd.",865620,3643,406379833,940,263,465
European High Yield Bond Fund,2021-07-09,China Mobile Ltd.,66426,687,156501016,821,88,835
Community Savings Bond Fund,2017-07-10,TotalEnergies SE,244181,1274,176927270,916,615,402
International Fixed Duration Fund,2018-04-07,Bayerische Motoren Werke AG,310848,802,111957165,688,959,194
Fixed Maturity 2025 Bond Fund,2018-05-29,"Taiwan Semiconductor Manufacturing Co., Ltd.",44484,2027,669238775,503,806,309
Fixed Maturity 2025 Bond Fund,2022-03-12,"UnitedHealth Group, Inc.",426998,-4485,340095430,34,102,293
Target Maturity 2029 Bond Fund,2022-01-30,Tencent Holdings Ltd.,267448,-4959,826994497,579,223,772
Equity Diversified Selection Fund,2018-06-13,Deutsche Telekom AG,322497,4676,447949409,166,814,464
Community Savings Bond Fund,2020-05-29,Mercedes-Benz Group AG,41422,2356,945136430,932,222,404
Sustainable Retail Fund,2019-12-27,"Verizon Communications, Inc.",222003,3025,211469588,107,51,838
Equity Diversified Selection Fund,2019-05-16,"Taiwan Semiconductor Manufacturing Co., Ltd.",858456,-378,468498649,711,944,974
Target Maturity 2029 Bond Fund,2020-12-22,Comcast Corp.,687327,2628,594509620,419,552,941
Impact Credit Strategies Fund,2018-07-16,Mercedes-Benz Group AG,450809,-4560,546065686,704,471,260
Target Maturity 2029 Bond Fund,2017-12-25,Intel Corp.,731781,63,279798590,723,796,922
Fixed Maturity 2025 Bond Fund,2021-08-21,"Taiwan Semiconductor Manufacturing Co., Ltd.",723035,3015,895732825,373,812,525
Equity Diversified Selection Fund,2021-07-28,Mercedes-Benz Group AG,854591,4033,911560005,441,548,597
Community Savings Bond Fund,2020-12-09,Industrial & Commercial Bank of China Ltd.,93646,4268,132142471,512,721,110
Fixed Maturity 2025 Bond Fund,2021-06-06,Comcast Corp.,116308,1392,705347484,912,167,560
Fixed Maturity 2025 Bond Fund,2021-03-02,Shell Plc,362560,3285,100871415,986,802,873
Equity Diversified Selection Fund,2017-11-05,"AT&T, Inc.",658516,-1764,737254518,308,292,651
Global Short Term Credit Fund,2017-03-08,Shell Plc,619949,-3220,523485764,739,140,861
Global Short Term Credit Fund,2021-08-07,China Mobile Ltd.,776200,1625,759460746,896,978,241
Target Maturity 2029 Bond Fund,2022-07-18,Industrial & Commercial Bank of China Ltd.,394316,2732,642432669,64,679,303
Fixed Maturity 2027 Bond Fund,2018-07-05,"Taiwan Semiconductor Manufacturing Co., Ltd.",55078,3904,657185220,54,132,353
Sustainable Retail Fund,2018-10-25,Reliance Industries Ltd.,123673,-4619,750397234,850,685,656
Target Maturity 2029 Bond Fund,2018-05-16,Comcast Corp.,172994,-4433,223343097,136,604,727
European High Yield Bond Fund,2017-07-25,Gazprom PJSC,267297,3582,740710294,673,765,517
Fixed Maturity 2027 Bond Fund,2017-10-17,"Samsung Electronics Co., Ltd.",456648,4623,976590546,53,490,424
Impact Credit Strategies Fund,2018-10-10,Comcast Corp.,6328,-65,253476048,131,625,326
Community Savings Bond Fund,2019-01-21,Reliance Industries Ltd.,516575,3543,425410019,689,536,869
Fixed Maturity 2025 Bond Fund,2018-06-11,"Taiwan Semiconductor Manufacturing Co., Ltd.",647696,-4669,850380080,423,485,206
Sustainable Retail Fund,2019-10-27,"Taiwan Semiconductor Manufacturing Co., Ltd.",346199,3476,789566283,227,423,885
Target Maturity 2029 Bond Fund,2018-04-21,Tencent Holdings Ltd.,670947,-3360,761113284,415,55,742
Sustainable Retail Fund,2018-11-21,Gazprom PJSC,63205,-1782,97694265,752,677,120
Community Savings Bond Fund,2022-08-09,Reliance Industries Ltd.,587182,-3109,435598564,745,397,375
Impact Credit Strategies Fund,2019-08-20,"Samsung Electronics Co., Ltd.",934533,444,160886446,903,837,174
Target Maturity 2029 Bond Fund,2022-08-07,"Verizon Communications, Inc.",968968,2868,881716673,957,859,352
Equity Diversified Selection Fund,2022-04-30,Intel Corp.,215011,-2548,677847776,723,551,751
Equity Diversified Selection Fund,2021-03-08,"Verizon Communications, Inc.",651084,-4708,954524599,746,639,815
Global Cross Asset Fund,2018-05-29,"AT&T, Inc.",168510,1195,580974433,394,856,633
European High Yield Bond Fund,2017-06-06,Shell Plc,484073,-449,11501704,77,235,233
Fixed Maturity 2027 Bond Fund,2018-02-28,Comcast Corp.,364943,-1109,367580496,620,483,584
European High Yield Bond Fund,2017-07-22,TotalEnergies SE,103075,-4892,902317988,508,25,132
Global Short Term Credit Fund,2017-11-16,Petróleo Brasileiro SA,735340,-1958,593612512,393,156,23
Global Cross Asset Fund,2021-04-24,Gazprom PJSC,106384,1057,260974293,835,34,944
Equity Diversified Selection Fund,2017-11-10,China Mobile Ltd.,10612,1321,150750317,884,145,743
Equity Diversified Selection Fund,2022-03-19,Shell Plc,431982,-4832,476646142,734,682,689
Impact Credit Strategies Fund,2018-03-16,"AbbVie, Inc.",897955,-3524,149365461,175,80,786
Global Short Term Credit Fund,2018-10-22,TotalEnergies SE,826505,1829,715507194,96,586,637
European High Yield Bond Fund,2022-02-21,Intel Corp.,996429,-2390,841607895,749,258,506
Fixed Maturity 2027 Bond Fund,2019-10-28,"Taiwan Semiconductor Manufacturing Co., Ltd.",123951,-2912,800343356,276,938,272
Target Maturity 2029 Bond Fund,2021-02-14,Mercedes-Benz Group AG,563351,-446,224735729,91,954,955
Sustainable Retail Fund,2022-09-14,"PetroChina Co., Ltd.",145290,2816,533706706,868,844,89
Target Maturity 2029 Bond Fund,2017-05-09,"PetroChina Co., Ltd.",754232,-1130,275125892,403,947,103
Fixed Maturity 2027 Bond Fund,2019-01-28,Shell Plc,632891,3100,991295041,192,413,256
Sustainable Retail Fund,2019-08-04,China Mobile Ltd.,327320,-4220,886163031,498,949,972
Fixed Maturity 2027 Bond Fund,2021-09-11,Mercedes-Benz Group AG,80320,654,423453541,554,475,854
Equity Diversified Selection Fund,2022-10-08,Intel Corp.,767582,-2016,478744210,428,815,534
International Fixed Duration Fund,2022-01-12,Industrial & Commercial Bank of China Ltd.,221611,1779,599903545,706,371,111
Equity Diversified Selection Fund,2018-05-20,Pfizer Inc.,386901,3497,469316769,532,170,15
International Fixed Duration Fund,2020-11-29,Saudi Arabian Oil Co.,987905,3962,599977001,270,194,64
Equity Diversified Selection Fund,2021-11-13,Petróleo Brasileiro SA,15372,-1745,53668353,796,646,822
Global Cross Asset Fund,2021-03-10,Petróleo Brasileiro SA,95810,-4545,742146070,159,453,841
International Fixed Duration Fund,2021-02-20,TotalEnergies SE,728206,3491,950326136,966,574,954
Equity Diversified Selection Fund,2020-05-02,"Taiwan Semiconductor Manufacturing Co., Ltd.",869414,-4552,879078865,772,819,859
Equity Diversified Selection Fund,2022-04-28,Petróleo Brasileiro SA,575803,-2472,779600957,82,18,729
Fixed Maturity 2027 Bond Fund,2018-01-25,"Samsung Electronics Co., Ltd.",344504,2264,449833809,193,200,539
Target Maturity 2029 Bond Fund,2019-05-14,Gazprom PJSC,749136,3459,558628447,643,376,735
Community Savings Bond Fund,2018-07-27,Intel Corp.,459219,-4001,78786787,252,551,439
Fixed Maturity 2025 Bond Fund,2022-02-08,Petróleo Brasileiro SA,908374,-1006,636115107,413,618,413
Sustainable Retail Fund,2019-06-03,Sony Group Corp.,260007,2414,775757177,386,343,959
Global Short Term Credit Fund,2019-05-22,"UnitedHealth Group, Inc.",816527,2699,313781045,693,377,859
Global Short Term Credit Fund,2020-05-18,Bayerische Motoren Werke AG,817879,-166,299668167,868,322,772
Target Maturity 2029 Bond Fund,2018-06-29,"AT&T, Inc.",261044,-116,673243877,933,869,111
Equity Diversified Selection Fund,2021-12-20,"Verizon Communications, Inc.",300062,-394,943734751,589,447,902
Global Cross Asset Fund,2018-07-19,Petróleo Brasileiro SA,524591,2135,551153023,384,873,570
Global Short Term Credit Fund,2019-11-23,Intel Corp.,369177,-3965,382979055,14,154,846
Fixed Maturity 2025 Bond Fund,2022-04-05,"Verizon Communications, Inc.",128803,754,963715110,105,291,291
Equity Diversified Selection Fund,2018-02-22,"PetroChina Co., Ltd.",634984,3647,504283211,174,618,421
Fixed Maturity 2025 Bond Fund,2018-09-16,"AbbVie, Inc.",256474,4045,597688772,89,861,645
Global Cross Asset Fund,2020-07-21,Intel Corp.,273728,2564,19884073,125,379,67
Community Savings Bond Fund,2021-06-17,Gazprom PJSC,351877,2310,398568625,932,727,674
Equity Diversified Selection Fund,2019-12-12,Shell Plc,210872,-4211,896635943,383,958,157
Global Short Term Credit Fund,2018-01-08,Reliance Industries Ltd.,622962,-1744,132752007,434,87,772
Sustainable Retail Fund,2022-09-08,"UnitedHealth Group, Inc.",419457,-4141,656349513,841,898,652
International Fixed Duration Fund,2017-11-03,Reliance Industries Ltd.,192934,-3742,101835699,206,324,151
Fixed Maturity 2025 Bond Fund,2021-08-02,Shell Plc,24580,-3231,145004581,347,506,602
Fixed Maturity 2025 Bond Fund,2019-02-08,Deutsche Telekom AG,277834,-1988,199552439,525,451,123
Community Savings Bond Fund,2017-01-31,Industrial & Commercial Bank of China Ltd.,90988,3304,537540425,187,19,496
Fixed Maturity 2025 Bond Fund,2020-01-18,China Mobile Ltd.,168882,-4687,669323871,61,903,958
Sustainable Retail Fund,2019-04-22,Sony Group Corp.,117062,-2467,199373801,270,557,399
International Fixed Duration Fund,2018-01-04,Reliance Industries Ltd.,629319,858,521658808,721,909,905
Fixed Maturity 2027 Bond Fund,2020-02-28,China Mobile Ltd.,948144,-570,874659434,810,808,483
European High Yield Bond Fund,2017-07-16,Shell Plc,101594,-1186,87696654,987,29,476
European High Yield Bond Fund,2021-11-23,Gazprom PJSC,622830,-3498,542413069,982,246,750
Fixed Maturity 2025 Bond Fund,2020-11-14,TotalEnergies SE,45687,2125,202888296,952,330,958
European High Yield Bond Fund,2021-10-18,Saudi Arabian Oil Co.,911705,1913,932632849,984,850,714
Global Short Term Credit Fund,2017-05-10,Pfizer Inc.,544111,1136,473957474,338,41,25
Sustainable Retail Fund,2021-05-16,China Mobile Ltd.,907110,223,12669864,505,141,729
Fixed Maturity 2025 Bond Fund,2021-07-11,Intel Corp.,106641,-4414,154593009,725,412,993
Global Cross Asset Fund,2020-09-09,Saudi Arabian Oil Co.,951609,2460,392249089,106,146,618
Equity Diversified Selection Fund,2022-04-03,Tencent Holdings Ltd.,895142,-4603,378059704,128,968,458
Sustainable Retail Fund,2019-12-08,"PetroChina Co., Ltd.",771573,1133,521249650,507,918,673
Impact Credit Strategies Fund,2019-08-19,Intel Corp.,133845,4709,497871524,744,743,451
Equity Diversified Selection Fund,2021-08-05,Sony Group Corp.,525928,3405,386869257,546,892,25
Fixed Maturity 2025 Bond Fund,2018-02-03,"PetroChina Co., Ltd.",57370,1888,817198533,32,947,841
Equity Diversified Selection Fund,2019-04-27,Tencent Holdings Ltd.,283217,-3640,206560904,767,125,999
Global Cross Asset Fund,2022-07-22,Gazprom PJSC,125642,2078,453522541,958,708,148
Global Short Term Credit Fund,2018-05-31,"UnitedHealth Group, Inc.",749702,4771,395429376,587,791,926
Target Maturity 2029 Bond Fund,2018-07-02,"Verizon Communications, Inc.",454213,31,772662604,768,740,443
European High Yield Bond Fund,2021-06-18,Comcast Corp.,653815,4254,102220740,738,801,16
Global Short Term Credit Fund,2022-12-11,China Mobile Ltd.,416587,77,193255920,851,333,12
Community Savings Bond Fund,2021-11-14,China Mobile Ltd.,390063,-4065,784278248,998,862,263
Sustainable Retail Fund,2019-01-20,"PetroChina Co., Ltd.",188934,4977,965431233,504,279,66
Fixed Maturity 2027 Bond Fund,2021-05-29,Mercedes-Benz Group AG,157710,3836,720582264,607,254,817
Sustainable Retail Fund,2019-12-23,Comcast Corp.,308682,4782,197671369,677,181,897
European High Yield Bond Fund,2018-05-28,Reliance Industries Ltd.,474852,-3322,312921257,744,832,875
Community Savings Bond Fund,2019-03-26,"PetroChina Co., Ltd.",488312,2432,176830614,506,703,206
Global Cross Asset Fund,2020-11-12,Gazprom PJSC,224501,-4856,419106647,555,224,723
European High Yield Bond Fund,2018-08-15,Shell Plc,462339,-4980,993079108,235,916,810
Impact Credit Strategies Fund,2022-03-14,Sony Group Corp.,838425,-2083,184509187,263,916,101
Equity Diversified Selection Fund,2020-04-21,Shell Plc,768698,1643,762877860,771,333,338
Fixed Maturity 2027 Bond Fund,2020-01-14,Intel Corp.,512704,1023,328812124,359,774,162
Sustainable Retail Fund,2018-08-04,Sony Group Corp.,419029,-1750,718442398,928,280,396
Global Short Term Credit Fund,2020-11-29,China Mobile Ltd.,161068,3535,429880399,378,469,90
International Fixed Duration Fund,2021-08-08,Industrial & Commercial Bank of China Ltd.,58595,1504,437944397,287,510,779
Target Maturity 2029 Bond Fund,2021-10-17,Reliance Industries Ltd.,804449,1188,831504343,717,60,118
Target Maturity 2029 Bond Fund,2019-02-13,"PetroChina Co., Ltd.",664150,505,589976601,375,825,860
Equity Diversified Selection Fund,2018-10-14,"AT&T, Inc.",398382,-3574,437618090,796,774,867
Fixed Maturity 2025 Bond Fund,2019-11-13,"Verizon Communications, Inc.",273457,-521,817403212,393,230,781
Impact Credit Strategies Fund,2019-06-12,Bayerische Motoren Werke AG,515552,-1104,859669998,536,215,12
