FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Community Savings Bond Fund,2017-10-01,"Walmart, Inc.",201624,-7463,104815419.63,641.9,334.75,460.97
Fixed Maturity 2025 Bond Fund,2019-05-07,Chevron Corp.,801611,5321,316993572.97,234.2,944.94,661.66
Subordinated Financials Fund,2017-05-25,Citigroup Inc.,866446,2448,343661371.5,520.16,45.32,476.44
Fixed Maturity 2025 Bond Fund,2022-11-09,Exxon Mobil Corp.,408933,600,102409518.62,705.25,188.36,77.23
Fixed Maturity 2027 Bond Fund,2021-06-19,Toyota Motor Corp.,386783,4940,454355973.4,252.34,108.08,35.07
Community Savings Bond Fund,2018-03-01,Procter & Gamble Co.,920059,-119,436087447.7,184.2,441.1,635.25
Fixed Maturity 2027 Bond Fund,2021-07-16,Toyota Motor Corp.,748972,-9468,412901861.82,795.32,651.48,442.05
Impact Credit Strategies Fund,2022-07-02,"SolarEdge Technologies, Inc.",714447,-3375,340132180.58,599.36,555.58,963.36
Equity Diversified Selection Fund,2022-06-06,Google LLC,436895,1984,451665828.86,789.31,625.47,767.92
Equity Diversified Selection Fund,2021-07-27,Google LLC,98333,-8185,38317646.76,530.2,607.65,904.0
International Fixed Duration Fund,2020-08-08,Ping An Insurance (Group) Co. of China Ltd.,272034,-9869,297343624.98,86.7,368.4,417.77
Community Savings Bond Fund,2019-03-27,Procter & Gamble Co.,663572,-4433,196120446.28,839.96,579.44,372.86
Equity Diversified Selection Fund,2020-09-06,Google LLC,215672,-9864,31654734.52,690.56,359.45,635.21
Fixed Maturity 2027 Bond Fund,2021-04-09,Volkswagen AG,528641,-1489,183693129.94,144.15,53.99,919.26
Community Savings Bond Fund,2017-09-17,"Walmart, Inc.",273808,4789,494179933.41,214.85,268.74,782.18
Equity Diversified Selection Fund,2019-05-01,Google LLC,850976,6167,288256009.12,831.15,997.6,640.49
Fixed Maturity 2025 Bond Fund,2021-03-04,BP Plc,819549,8453,262650589.89,513.31,430.18,264.82
Fixed Maturity 2025 Bond Fund,2019-08-04,Chevron Corp.,569484,-2625,481972295.28,491.47,131.0,17.19
Global Cross Asset Fund,2019-08-18,Johnson & Johnson,416690,-7798,485042327.08,134.82,59.3,431.56
Global Cross Asset Fund,2017-11-26,Alibaba Group Holding Ltd.,349497,3746,31747918.58,444.0,177.73,874.14
Global Short Term Credit Fund,2020-09-05,JPMorgan Chase & Co.,654360,-6251,156812507.9,618.43,578.74,38.15
International Fixed Duration Fund,2021-12-20,Ping An Insurance (Group) Co. of China Ltd.,784932,-6624,235047365.07,266.63,198.15,699.44
Global Cross Asset Fund,2019-02-06,Johnson & Johnson,283530,5368,116768741.0,210.25,158.77,99.14
Subordinated Financials Fund,2020-12-27,"Goldman Sachs Group, Inc.",638545,-194,490417314.47,191.49,90.91,477.37
Global Short Term Credit Fund,2020-10-27,JPMorgan Chase & Co.,27314,3880,414665424.89,421.48,168.69,734.01
Community Savings Bond Fund,2022-01-28,Nestlé SA,491598,-9812,210236628.6,306.03,121.86,762.25
Global Cross Asset Fund,2022-11-25,Alibaba Group Holding Ltd.,81917,760,87857409.28,582.83,571.71,32.7
Equity Diversified Selection Fund,2022-11-01,Google LLC,786415,8137,353326793.61,773.43,810.32,130.36
Subordinated Financials Fund,2022-03-23,"Goldman Sachs Group, Inc.",246837,-852,384742406.27,183.49,253.61,449.35
International Fixed Duration Fund,2022-03-19,Ping An Insurance (Group) Co. of China Ltd.,520036,7696,317252633.39,484.78,57.46,956.54
Fixed Maturity 2027 Bond Fund,2018-02-16,Volkswagen AG,702048,-6533,258492241.14,429.57,394.67,818.07
Target Maturity 2029 Bond Fund,2017-02-25,Microsoft Corp.,674286,413,286561153.37,900.63,973.89,430.35
Community Savings Bond Fund,2020-08-21,"Walmart, Inc.",261603,-470,398767242.88,18.62,373.18,922.57
Global Cross Asset Fund,2017-11-07,Alibaba Group Holding Ltd.,997426,-9832,359042183.92,335.39,286.26,128.35
Fixed Maturity 2025 Bond Fund,2020-08-30,BP Plc,858682,-1880,418555094.93,608.99,770.58,792.94
Global Short Term Credit Fund,2022-05-17,Bank of America Corp.,947923,1570,336991140.52,157.9,480.56,703.24
Fixed Maturity 2027 Bond Fund,2019-01-10,Toyota Motor Corp.,491544,1269,178230603.98,966.42,449.99,263.4
Fixed Maturity 2027 Bond Fund,2020-09-26,Ford Motor Co.,601229,-4116,71036230.22,722.62,313.83,899.15
Equity Diversified Selection Fund,2021-12-23,"Facebook, Inc.",769787,6235,76222972.39,651.25,688.55,895.03
Sustainable Retail Fund,2020-12-19,"Beyond Meat, Inc.",236396,2531,480960911.46,911.44,10.97,656.66
Impact Credit Strategies Fund,2018-03-19,Vestas Wind Systems A/S,714682,-8704,290278680.23,288.73,209.55,482.54
Global Short Term Credit Fund,2019-11-10,Bank of America Corp.,141959,-5903,96420500.7,845.53,613.82,829.1
Equity Diversified Selection Fund,2020-02-23,"Facebook, Inc.",433309,-7055,397838377.04,401.75,954.53,502.12
Fixed Maturity 2027 Bond Fund,2020-07-19,Ford Motor Co.,916100,-9412,421048275.24,919.72,941.9,630.81
Community Savings Bond Fund,2021-05-20,Procter & Gamble Co.,838701,-2919,261974315.55,555.35,283.46,188.44
Target Maturity 2029 Bond Fund,2018-03-30,"Apple, Inc.",903191,2726,212547428.24,188.46,660.33,288.31
International Fixed Duration Fund,2019-10-30,AXA SA,725246,-7085,361729565.57,577.87,79.31,820.37
Equity Diversified Selection Fund,2022-09-01,Google LLC,636833,-5291,427257757.48,521.02,165.16,453.98
Community Savings Bond Fund,2019-12-19,Nestlé SA,268855,7209,361789940.02,813.52,748.96,987.97
Global Cross Asset Fund,2017-12-13,Johnson & Johnson,868877,5596,374610055.39,926.5,271.99,820.91
Global Cross Asset Fund,2020-05-20,"Berkshire Hathaway, Inc.",488820,8556,327826724.61,625.62,276.97,979.89
Global Short Term Credit Fund,2022-06-17,JPMorgan Chase & Co.,29985,-9717,327068515.67,985.07,821.61,660.43
Global Short Term Credit Fund,2022-08-03,Bank of America Corp.,219851,-5006,362509564.71,519.9,811.08,954.51
Fixed Maturity 2027 Bond Fund,2022-10-09,Toyota Motor Corp.,692081,9882,150944980.24,743.78,348.38,998.66
International Fixed Duration Fund,2020-02-15,Allianz SE,817735,-6524,88940937.36,450.42,49.33,812.39
Subordinated Financials Fund,2021-11-03,"Goldman Sachs Group, Inc.",185794,-7373,73987784.04,759.03,127.18,923.13
Global Short Term Credit Fund,2017-02-25,HSBC Holdings Plc,188871,-6170,429024987.6,40.43,72.05,549.16
Community Savings Bond Fund,2021-07-08,Procter & Gamble Co.,650887,-9812,330418152.66,602.54,693.03,192.85
Global Short Term Credit Fund,2019-03-23,Bank of America Corp.,480444,-1261,418543633.82,549.07,340.62,648.87
Global Short Term Credit Fund,2020-01-28,HSBC Holdings Plc,266094,5534,351266875.21,634.35,16.07,980.56
Fixed Maturity 2027 Bond Fund,2022-01-02,Toyota Motor Corp.,873736,9764,30160938.98,555.52,840.48,644.16
Sustainable Retail Fund,2018-05-22,"Beyond Meat, Inc.",101092,-9760,36526041.43,631.85,799.99,776.32
Target Maturity 2029 Bond Fund,2022-10-26,Microsoft Corp.,866356,7829,4574190.29,700.91,486.89,515.6
International Fixed Duration Fund,2019-02-07,Allianz SE,146688,5516,131733364.01,459.94,628.64,693.57
Subordinated Financials Fund,2019-09-02,Citigroup Inc.,751310,-2313,233755904.93,966.99,773.72,768.22
Subordinated Financials Fund,2018-05-24,Citigroup Inc.,275331,445,36962890.5,667.54,786.3,922.85
Equity Diversified Selection Fund,2021-02-13,Google LLC,666777,-4251,484471126.78,884.85,341.9,591.16
Subordinated Financials Fund,2021-04-23,Citigroup Inc.,721627,3148,441264967.67,532.47,525.1,407.24
Global Cross Asset Fund,2018-08-23,Alibaba Group Holding Ltd.,985115,-8395,251658577.17,822.86,544.72,851.51
Global Short Term Credit Fund,2018-08-11,Bank of America Corp.,631179,-8177,463554348.38,913.61,257.54,483.72
Global Short Term Credit Fund,2020-11-24,JPMorgan Chase & Co.,213080,-8085,335748385.71,53.07,196.43,990.46
Equity Diversified Selection Fund,2019-10-03,"Netflix, Inc.",730661,-3391,187112231.9,80.86,966.67,443.5
Global Cross Asset Fund,2017-03-20,Johnson & Johnson,599933,-7279,93974474.91,520.94,476.05,77.21
Target Maturity 2029 Bond Fund,2018-10-03,"Apple, Inc.",297436,-6311,344604577.17,263.84,853.05,596.31
Sustainable Retail Fund,2020-02-27,"Beyond Meat, Inc.",838867,1394,298359916.44,756.08,379.61,242.0
Subordinated Financials Fund,2017-09-03,"Goldman Sachs Group, Inc.",359099,-3580,148712298.13,769.19,768.55,884.28
Impact Credit Strategies Fund,2018-11-08,Vestas Wind Systems A/S,240775,3025,47838827.31,964.65,103.01,115.35
Equity Diversified Selection Fund,2017-03-04,"Facebook, Inc.",184714,6163,210210592.85,371.66,50.21,750.97
Impact Credit Strategies Fund,2018-06-18,Vestas Wind Systems A/S,327594,879,363606878.47,523.93,335.52,618.2
Sustainable Retail Fund,2018-04-26,"Tesla, Inc.",72682,-1646,354518099.28,393.35,806.28,249.45
Fixed Maturity 2027 Bond Fund,2022-11-23,Toyota Motor Corp.,342350,2200,341875662.25,668.14,84.56,597.38
Sustainable Retail Fund,2020-03-10,"Tesla, Inc.",293902,-9500,275230689.32,996.39,641.24,320.26
Fixed Maturity 2027 Bond Fund,2017-07-26,Volkswagen AG,619727,6039,63163076.38,524.81,79.82,498.61
Sustainable Retail Fund,2018-02-13,"The Hain Celestial Group, Inc.",704780,-5247,59279434.59,591.9,374.52,281.84
Global Cross Asset Fund,2020-05-12,"Berkshire Hathaway, Inc.",602324,-5400,365066830.63,21.85,792.95,434.88
Equity Diversified Selection Fund,2020-07-07,"Facebook, Inc.",936056,1942,472611492.65,232.0,113.56,770.9
Fixed Maturity 2025 Bond Fund,2018-03-04,Chevron Corp.,762671,-4118,449463904.64,725.76,409.64,201.47
International Fixed Duration Fund,2022-03-08,Ping An Insurance (Group) Co. of China Ltd.,274259,3247,243373920.06,306.57,480.51,988.62
Sustainable Retail Fund,2018-03-03,"Beyond Meat, Inc.",352586,-1264,254039041.24,964.95,27.29,821.04
Sustainable Retail Fund,2018-01-24,"The Hain Celestial Group, Inc.",573432,-9837,477857510.14,354.21,142.44,420.62
International Fixed Duration Fund,2018-10-19,Ping An Insurance (Group) Co. of China Ltd.,210531,9390,337572790.81,973.34,580.65,300.53
Sustainable Retail Fund,2022-10-24,"The Hain Celestial Group, Inc.",748663,-5909,70648094.05,486.64,207.13,303.31
Impact Credit Strategies Fund,2018-11-14,"SolarEdge Technologies, Inc.",103164,1661,438091933.34,666.34,129.02,922.33
Fixed Maturity 2027 Bond Fund,2019-11-30,Ford Motor Co.,539640,792,366821113.79,465.38,343.95,479.11
International Fixed Duration Fund,2020-01-17,AXA SA,709055,7091,154574982.96,623.66,759.31,177.82
Global Short Term Credit Fund,2022-02-04,Bank of America Corp.,413693,7651,249106082.69,721.94,323.85,549.61
Subordinated Financials Fund,2021-09-05,Morgan Stanley,292042,311,284524022.6,492.96,232.36,564.14
Global Cross Asset Fund,2022-01-31,Alibaba Group Holding Ltd.,686283,-5970,491023621.69,585.68,815.82,866.63
Impact Credit Strategies Fund,2020-05-15,Vestas Wind Systems A/S,337119,3528,272242202.57,360.66,126.19,753.62
Fixed Maturity 2025 Bond Fund,2020-10-27,BP Plc,535380,2541,424390723.22,905.29,934.4,395.92
Global Cross Asset Fund,2019-11-21,"Berkshire Hathaway, Inc.",450216,-4842,48078066.44,675.0,713.27,144.04
Equity Diversified Selection Fund,2022-06-03,"Netflix, Inc.",63128,-6795,461835805.38,398.89,552.15,168.82
Impact Credit Strategies Fund,2020-05-01,"First Solar, Inc.",123743,-7540,484505083.31,57.43,880.32,698.84
Impact Credit Strategies Fund,2018-12-29,"SolarEdge Technologies, Inc.",886975,-3557,37615148.95,452.97,158.04,469.61
Subordinated Financials Fund,2021-02-20,"Goldman Sachs Group, Inc.",93101,-5617,408479696.73,757.83,721.67,492.22
Target Maturity 2029 Bond Fund,2022-08-15,Microsoft Corp.,771003,-7365,134213894.41,364.75,531.21,47.61
Subordinated Financials Fund,2019-11-08,Morgan Stanley,596874,-9082,499901948.6,590.52,238.31,196.29
Global Short Term Credit Fund,2017-07-17,Bank of America Corp.,214204,9386,131681608.18,665.16,940.44,463.72
Global Cross Asset Fund,2017-12-14,"Berkshire Hathaway, Inc.",726882,-3324,399006918.9,999.16,787.97,571.53
Subordinated Financials Fund,2021-03-04,Citigroup Inc.,593529,7812,277907480.42,650.96,761.91,174.01
Global Short Term Credit Fund,2022-07-10,Bank of America Corp.,138680,-9755,233641361.5,227.26,927.79,732.54
Sustainable Retail Fund,2022-11-28,"Tesla, Inc.",381649,3446,319545501.07,813.61,20.86,123.98
International Fixed Duration Fund,2022-04-01,AXA SA,305146,8993,232749164.4,72.7,400.12,650.47
Subordinated Financials Fund,2018-02-17,Morgan Stanley,345383,157,303999812.77,483.87,456.88,825.07
Fixed Maturity 2025 Bond Fund,2018-09-09,BP Plc,251121,-9815,426040462.27,718.91,60.37,764.6
Subordinated Financials Fund,2020-01-06,Morgan Stanley,297564,6930,298548276.81,874.56,317.43,494.92
Global Cross Asset Fund,2021-12-11,"Berkshire Hathaway, Inc.",982107,5804,197219094.85,483.5,850.97,950.98
Fixed Maturity 2027 Bond Fund,2018-12-27,Ford Motor Co.,837261,-4882,469805815.47,770.9,382.53,422.95
International Fixed Duration Fund,2022-02-10,AXA SA,30233,4983,152867824.9,901.48,20.16,714.46
Equity Diversified Selection Fund,2019-03-08,"Facebook, Inc.",710635,2157,497805668.66,379.62,187.38,263.37
Equity Diversified Selection Fund,2020-06-11,"Facebook, Inc.",962123,5179,207722532.86,137.1,909.24,564.84
Global Short Term Credit Fund,2020-08-29,JPMorgan Chase & Co.,614007,6063,5681835.35,640.77,591.76,339.19
Fixed Maturity 2027 Bond Fund,2018-09-20,Volkswagen AG,52451,3653,166847027.02,644.14,568.14,348.65
Sustainable Retail Fund,2022-02-19,"Beyond Meat, Inc.",280469,8249,412161201.06,224.31,37.73,334.21
Subordinated Financials Fund,2021-06-11,Citigroup Inc.,136746,-6087,398249882.67,882.25,273.3,256.29
Fixed Maturity 2027 Bond Fund,2021-06-30,Toyota Motor Corp.,114950,583,341558141.75,970.73,70.85,558.38
Sustainable Retail Fund,2021-10-07,"Beyond Meat, Inc.",127276,-6434,451448895.86,623.95,203.9,719.16
Equity Diversified Selection Fund,2017-01-31,"Netflix, Inc.",52750,-42,300292962.93,435.82,42.69,477.33
Fixed Maturity 2025 Bond Fund,2018-01-07,Chevron Corp.,61130,4886,445511966.37,834.79,731.86,313.4
Global Short Term Credit Fund,2018-08-17,Bank of America Corp.,727920,-4811,124874889.64,238.47,789.32,999.4
Target Maturity 2029 Bond Fund,2017-04-28,"Apple, Inc.",745406,4537,485904686.67,958.78,517.66,532.16
Fixed Maturity 2027 Bond Fund,2019-04-19,Volkswagen AG,13825,-3149,336044137.8,687.19,519.05,332.92
Fixed Maturity 2025 Bond Fund,2017-03-11,Chevron Corp.,189108,-859,396135683.8,873.61,951.71,296.8
Fixed Maturity 2027 Bond Fund,2022-07-29,Toyota Motor Corp.,665560,1068,92828424.63,609.03,674.17,852.42
Fixed Maturity 2025 Bond Fund,2019-07-11,Chevron Corp.,245743,5573,161051981.25,480.83,981.09,138.67
International Fixed Duration Fund,2018-03-25,Allianz SE,74159,-1774,300172119.7,653.88,89.07,725.44
Fixed Maturity 2025 Bond Fund,2022-04-11,Exxon Mobil Corp.,918060,7754,492498608.84,175.85,488.9,589.7
Global Short Term Credit Fund,2018-05-05,JPMorgan Chase & Co.,971056,9707,349441857.6,642.21,366.51,454.55
Subordinated Financials Fund,2017-05-08,Morgan Stanley,553013,955,143227723.56,811.37,790.77,342.7
Community Savings Bond Fund,2019-08-31,Nestlé SA,987456,-4585,218045257.74,19.55,383.5,698.46
International Fixed Duration Fund,2019-07-10,AXA SA,711304,9175,306152474.53,859.95,670.46,799.26
Community Savings Bond Fund,2022-12-22,Nestlé SA,572576,-8903,385188609.67,278.32,934.87,486.39
Target Maturity 2029 Bond Fund,2017-03-24,Microsoft Corp.,830844,-6939,39276401.34,359.05,254.01,146.66
Equity Diversified Selection Fund,2022-04-07,Google LLC,182183,4788,67494184.34,775.39,327.71,753.5
International Fixed Duration Fund,2020-08-09,Ping An Insurance (Group) Co. of China Ltd.,407368,-5464,231128604.11,871.58,514.13,820.65
Impact Credit Strategies Fund,2019-03-05,"SolarEdge Technologies, Inc.",964830,4137,193593690.45,782.43,835.85,432.1
Equity Diversified Selection Fund,2019-07-08,"Facebook, Inc.",103033,-8456,285391698.05,255.37,205.85,27.05
Community Savings Bond Fund,2019-12-18,"Walmart, Inc.",694821,-6911,76808567.36,305.02,213.72,370.48
Impact Credit Strategies Fund,2017-06-25,Vestas Wind Systems A/S,90458,-6329,328711391.6,259.26,726.95,518.87
Global Short Term Credit Fund,2021-11-19,Bank of America Corp.,409515,-4520,355097661.41,909.22,669.37,423.97
Global Cross Asset Fund,2021-04-28,"Berkshire Hathaway, Inc.",885259,-2421,205427099.42,799.53,170.63,347.16
Fixed Maturity 2025 Bond Fund,2020-06-07,BP Plc,995333,-2015,225221289.85,782.63,383.68,548.02
Global Short Term Credit Fund,2017-12-24,HSBC Holdings Plc,140883,-616,194342463.46,567.56,974.72,790.25
Equity Diversified Selection Fund,2022-12-03,"Facebook, Inc.",538545,-2059,254281249.95,335.11,389.37,992.21
Sustainable Retail Fund,2021-04-14,"Beyond Meat, Inc.",707612,5275,358157714.54,346.65,231.13,384.21
Target Maturity 2029 Bond Fund,2022-07-27,Microsoft Corp.,263976,9195,335576007.23,319.68,311.43,132.99
International Fixed Duration Fund,2020-06-24,AXA SA,927204,1641,24244640.48,282.76,652.89,851.73
Community Savings Bond Fund,2018-06-15,"Walmart, Inc.",689480,-4926,48462195.82,900.5,571.64,413.99
International Fixed Duration Fund,2021-02-13,AXA SA,639940,3018,251633455.97,186.1,870.86,443.41
Global Short Term Credit Fund,2017-03-19,Bank of America Corp.,496602,6376,213196380.26,256.04,164.34,547.09
Subordinated Financials Fund,2017-10-13,Morgan Stanley,488438,9,380366444.46,720.6,945.04,471.17
Community Savings Bond Fund,2020-04-03,"Walmart, Inc.",674902,-9941,358525938.84,612.84,107.35,369.59
Global Short Term Credit Fund,2020-03-29,JPMorgan Chase & Co.,272069,3620,75285177.54,462.28,317.89,395.13
Global Cross Asset Fund,2019-12-20,"Berkshire Hathaway, Inc.",690720,6661,444094932.92,228.61,309.02,672.58
Equity Diversified Selection Fund,2019-03-11,"Netflix, Inc.",552100,-6714,335424085.88,848.57,335.01,192.25
Fixed Maturity 2027 Bond Fund,2022-02-22,Ford Motor Co.,355249,4904,217539407.91,635.0,795.08,147.48
Sustainable Retail Fund,2019-06-11,"Beyond Meat, Inc.",147442,6279,168473254.23,759.29,906.98,134.06
International Fixed Duration Fund,2018-07-08,AXA SA,281645,5876,329419247.33,87.12,219.57,13.52
Fixed Maturity 2025 Bond Fund,2020-12-09,Exxon Mobil Corp.,299984,-9228,363049909.81,742.79,578.91,528.66
Global Cross Asset Fund,2020-10-29,"Berkshire Hathaway, Inc.",211369,1180,302660038.59,796.07,612.78,602.73
Fixed Maturity 2025 Bond Fund,2020-09-01,Chevron Corp.,819986,6935,37484066.73,881.18,586.46,671.36
Global Short Term Credit Fund,2020-03-22,JPMorgan Chase & Co.,205428,9896,391432417.24,781.72,153.61,98.66
Community Savings Bond Fund,2017-12-28,Nestlé SA,756414,1345,177667835.39,974.83,372.7,889.83
Impact Credit Strategies Fund,2022-06-19,Vestas Wind Systems A/S,682695,-2472,330110481.69,40.65,599.53,402.72
Fixed Maturity 2025 Bond Fund,2020-09-24,Chevron Corp.,920949,-576,387141386.56,48.31,506.19,140.45
Target Maturity 2029 Bond Fund,2020-08-17,Microsoft Corp.,462557,-4800,8105809.7,97.02,467.4,742.29
Equity Diversified Selection Fund,2021-10-12,Google LLC,629936,-39,77774531.98,484.25,927.93,858.4
Target Maturity 2029 Bond Fund,2018-11-16,"Amazon.com, Inc.",344655,-394,406111325.76,603.9,548.77,314.74
Target Maturity 2029 Bond Fund,2022-11-26,Microsoft Corp.,762825,2685,452663312.54,17.66,675.96,200.62
Impact Credit Strategies Fund,2019-03-10,Vestas Wind Systems A/S,916931,1,301043030.42,435.16,690.35,60.95
Target Maturity 2029 Bond Fund,2021-01-15,"Amazon.com, Inc.",351051,-7006,470769895.1,25.43,727.77,128.04
Community Savings Bond Fund,2020-09-26,"Walmart, Inc.",559306,-1451,28571550.29,756.78,235.02,760.63
Target Maturity 2029 Bond Fund,2017-06-14,"Apple, Inc.",680217,9707,212704448.89,28.29,713.47,111.93
Fixed Maturity 2027 Bond Fund,2017-08-17,Ford Motor Co.,161283,4448,460962503.67,702.27,747.13,328.06
Global Cross Asset Fund,2018-11-11,"Berkshire Hathaway, Inc.",31221,-9103,244132812.27,168.27,804.19,865.47
International Fixed Duration Fund,2019-06-03,Ping An Insurance (Group) Co. of China Ltd.,908740,5542,133151285.92,614.61,767.11,85.44
Global Cross Asset Fund,2018-07-22,Alibaba Group Holding Ltd.,699310,3810,499295621.34,546.94,619.74,21.51
Subordinated Financials Fund,2018-09-27,"Goldman Sachs Group, Inc.",820239,-4664,364206210.56,332.43,502.4,386.13
Fixed Maturity 2027 Bond Fund,2019-05-10,Ford Motor Co.,276796,7852,201248222.89,204.14,332.41,800.62
Global Cross Asset Fund,2022-12-14,Alibaba Group Holding Ltd.,808910,-4875,78071216.38,94.9,521.66,196.5
International Fixed Duration Fund,2021-05-03,AXA SA,737382,2497,277288552.44,589.19,325.66,395.15
International Fixed Duration Fund,2022-01-07,Ping An Insurance (Group) Co. of China Ltd.,910838,1986,116282548.63,986.79,619.03,187.52
Impact Credit Strategies Fund,2020-01-14,Vestas Wind Systems A/S,546369,-7710,226577019.87,904.19,540.41,114.28
Impact Credit Strategies Fund,2021-12-02,"First Solar, Inc.",399634,4115,107134652.4,932.57,100.44,364.25
Equity Diversified Selection Fund,2019-11-29,"Netflix, Inc.",271984,3593,380366189.64,736.94,331.47,746.41
Global Cross Asset Fund,2022-04-15,Alibaba Group Holding Ltd.,795202,-7271,59015358.07,244.66,19.17,55.35
International Fixed Duration Fund,2022-05-09,Ping An Insurance (Group) Co. of China Ltd.,964188,1213,366500685.62,438.58,345.74,377.12
Fixed Maturity 2025 Bond Fund,2022-03-05,BP Plc,195527,1578,392469059.95,599.04,236.81,882.59
Community Savings Bond Fund,2017-06-07,Nestlé SA,770458,2730,92272560.15,610.53,878.65,842.17
Equity Diversified Selection Fund,2022-11-28,"Facebook, Inc.",748887,9622,288414808.25,946.26,362.13,333.36
Equity Diversified Selection Fund,2017-09-18,Google LLC,842155,5061,68742303.93,983.47,474.97,434.42
Subordinated Financials Fund,2018-08-27,Morgan Stanley,3407,7132,363778055.79,215.4,926.19,398.38
Global Cross Asset Fund,2021-06-01,"Berkshire Hathaway, Inc.",741343,-893,176675277.22,513.8,142.38,56.83
Global Cross Asset Fund,2021-04-02,"Berkshire Hathaway, Inc.",729286,3192,32605476.82,566.76,660.66,763.05
Global Short Term Credit Fund,2018-01-13,JPMorgan Chase & Co.,46029,7435,254249042.45,761.24,52.21,178.14
International Fixed Duration Fund,2021-09-21,Ping An Insurance (Group) Co. of China Ltd.,927791,6144,28260150.44,439.19,163.85,960.35
Fixed Maturity 2025 Bond Fund,2019-01-03,Exxon Mobil Corp.,357899,-9089,280711405.94,21.79,933.15,933.52
Fixed Maturity 2027 Bond Fund,2022-07-06,Ford Motor Co.,674722,715,279059341.99,778.97,453.05,975.24
Fixed Maturity 2027 Bond Fund,2019-05-16,Volkswagen AG,668445,-3007,464032741.79,946.74,824.82,769.67
Community Savings Bond Fund,2019-12-18,Procter & Gamble Co.,27153,-771,105761307.04,775.56,761.04,754.75
Impact Credit Strategies Fund,2017-02-25,Vestas Wind Systems A/S,184102,170,250506243.11,81.94,312.72,562.5
Global Short Term Credit Fund,2021-03-26,JPMorgan Chase & Co.,263674,1723,495442797.25,143.88,67.84,641.01
Global Short Term Credit Fund,2019-02-27,Bank of America Corp.,366845,3944,229201453.74,758.0,222.06,402.07
International Fixed Duration Fund,2017-01-21,AXA SA,753297,1912,380045187.96,180.82,501.49,675.49
Equity Diversified Selection Fund,2020-05-24,"Facebook, Inc.",376839,-6662,343123263.24,208.94,922.99,87.12
Equity Diversified Selection Fund,2017-07-16,"Facebook, Inc.",490805,-8965,150919942.97,407.23,739.69,896.38
International Fixed Duration Fund,2017-04-05,Allianz SE,853049,-3883,413975184.41,559.86,644.79,86.58
Global Cross Asset Fund,2021-07-09,"Berkshire Hathaway, Inc.",118355,-9054,273793326.22,238.05,444.7,28.69
Community Savings Bond Fund,2021-09-08,Procter & Gamble Co.,545895,6180,358539624.28,605.6,790.99,902.27
Fixed Maturity 2027 Bond Fund,2019-06-18,Toyota Motor Corp.,50224,-1577,147423191.4,850.17,245.44,470.41
Fixed Maturity 2025 Bond Fund,2022-11-05,BP Plc,177134,1818,280459340.01,393.9,45.92,282.37
International Fixed Duration Fund,2022-04-14,Allianz SE,78584,5227,226970772.14,335.56,98.88,373.63
Global Cross Asset Fund,2022-02-14,Johnson & Johnson,688503,8555,289050896.76,845.16,401.7,277.01
Impact Credit Strategies Fund,2018-03-15,"First Solar, Inc.",725731,5505,382384385.75,214.41,329.48,502.41
Global Cross Asset Fund,2021-07-12,"Berkshire Hathaway, Inc.",44959,2735,331492774.63,494.97,520.44,743.07
Global Short Term Credit Fund,2018-04-18,HSBC Holdings Plc,792061,-820,193637763.21,480.44,177.31,452.99
Subordinated Financials Fund,2018-12-04,"Goldman Sachs Group, Inc.",594680,6757,397136812.18,33.35,648.92,317.98
Subordinated Financials Fund,2017-07-16,Citigroup Inc.,357375,-4536,374674097.03,27.91,699.32,47.33
Impact Credit Strategies Fund,2017-07-30,"SolarEdge Technologies, Inc.",258919,-8470,247410677.92,107.35,710.13,655.44
Sustainable Retail Fund,2020-03-01,"Beyond Meat, Inc.",36807,988,77146018.55,463.85,395.87,901.26
Fixed Maturity 2025 Bond Fund,2019-07-05,BP Plc,173925,-3760,497402253.42,446.05,593.65,995.97
Equity Diversified Selection Fund,2021-12-18,"Netflix, Inc.",20786,-1545,240248705.3,606.42,808.96,511.04
International Fixed Duration Fund,2019-10-27,AXA SA,98252,-7129,16077327.87,163.98,695.03,679.23
Subordinated Financials Fund,2021-01-28,Morgan Stanley,881375,-334,310474949.34,283.09,65.36,204.89
Global Cross Asset Fund,2020-11-29,Alibaba Group Holding Ltd.,62304,8124,116071609.78,506.55,451.97,12.71
Global Short Term Credit Fund,2021-06-18,JPMorgan Chase & Co.,852018,-7800,322282451.87,168.9,955.92,594.45
Impact Credit Strategies Fund,2022-12-19,"First Solar, Inc.",985241,3926,189499022.01,131.99,378.54,451.38
Subordinated Financials Fund,2019-12-21,Morgan Stanley,107826,-1021,101680138.69,503.03,761.19,827.51
Sustainable Retail Fund,2019-03-31,"The Hain Celestial Group, Inc.",583730,472,338274320.96,978.75,708.28,38.14
Global Short Term Credit Fund,2017-05-18,JPMorgan Chase & Co.,590955,8783,429110064.97,882.01,26.73,59.17
Global Cross Asset Fund,2017-02-04,"Berkshire Hathaway, Inc.",20958,3549,491413154.17,920.85,68.28,486.22
Sustainable Retail Fund,2018-02-11,"Tesla, Inc.",276320,7406,285914607.75,50.05,647.62,235.29
Community Savings Bond Fund,2018-10-05,Nestlé SA,318924,-1325,315211869.69,166.11,697.98,207.36
