FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Fixed Maturity 2025 Bond Fund,2021-07-18,Exxon Mobil Corp.,846247,6924,413157544.3,923.81,808.15,674.54
Global Cross Asset Fund,2020-01-04,Johnson & Johnson,527130,3633,294881027.79,107.9,220.46,282.38
Sustainable Retail Fund,2021-12-22,"The Hain Celestial Group, Inc.",227178,-461,48948008.07,356.08,295.63,732.5
Sustainable Retail Fund,2017-10-28,"The Hain Celestial Group, Inc.",517575,-2908,296351930.06,891.93,244.03,910.05
Fixed Maturity 2027 Bond Fund,2017-12-09,Ford Motor Co.,599916,6253,201988366.2,572.42,156.79,325.09
Global Cross Asset Fund,2022-03-31,Johnson & Johnson,434521,-3623,301439705.92,584.16,659.0,347.2
Global Short Term Credit Fund,2020-04-20,JPMorgan Chase & Co.,759983,5456,141321653.93,550.58,622.67,569.35
Fixed Maturity 2025 Bond Fund,2019-09-27,Exxon Mobil Corp.,371405,3880,20818073.5,818.15,465.3,678.02
Global Short Term Credit Fund,2022-12-02,HSBC Holdings Plc,101960,9297,434421281.29,247.88,597.25,289.05
Sustainable Retail Fund,2021-09-08,"Tesla, Inc.",995005,-4221,464611796.94,208.77,43.21,347.19
Equity Diversified Selection Fund,2021-10-16,Google LLC,692224,-6381,375301629.76,785.06,915.36,521.88
Subordinated Financials Fund,2018-04-21,"Goldman Sachs Group, Inc.",392230,-7842,498438740.96,637.32,568.86,871.52
Fixed Maturity 2025 Bond Fund,2018-02-17,Exxon Mobil Corp.,120352,-911,372011126.36,940.35,550.01,571.54
Community Savings Bond Fund,2022-08-29,"Walmart, Inc.",78056,8932,406768663.51,935.58,951.96,944.48
International Fixed Duration Fund,2021-10-24,Allianz SE,973358,4862,335252857.13,390.18,835.95,17.16
Target Maturity 2029 Bond Fund,2017-04-16,Microsoft Corp.,67870,-4612,131837885.45,632.56,672.62,834.43
Equity Diversified Selection Fund,2018-05-04,Google LLC,126591,-6905,47562483.54,456.54,781.76,670.73
Global Cross Asset Fund,2019-07-09,Johnson & Johnson,988228,-154,55123241.54,520.78,66.3,79.39
Fixed Maturity 2027 Bond Fund,2022-03-09,Volkswagen AG,478968,725,9303178.03,114.55,987.59,581.67
Equity Diversified Selection Fund,2019-08-25,Google LLC,621040,6548,251976565.32,773.27,501.41,762.88
Equity Diversified Selection Fund,2019-03-06,Google LLC,434821,9992,481388441.03,904.25,759.06,379.66
Global Cross Asset Fund,2021-10-10,Alibaba Group Holding Ltd.,143851,7418,470221567.09,699.57,802.89,869.51
Sustainable Retail Fund,2021-07-24,"The Hain Celestial Group, Inc.",840741,7931,274636044.73,862.98,964.03,27.05
Equity Diversified Selection Fund,2022-11-24,Google LLC,309788,1272,18112075.03,349.07,839.92,607.94
Fixed Maturity 2027 Bond Fund,2018-03-09,Ford Motor Co.,60645,3518,172796447.01,544.98,747.13,981.4
Subordinated Financials Fund,2017-09-25,Morgan Stanley,731554,156,361192355.05,558.11,81.95,145.34
International Fixed Duration Fund,2018-04-10,Allianz SE,966280,-9056,183126635.61,411.28,431.67,223.04
Impact Credit Strategies Fund,2020-10-02,"SolarEdge Technologies, Inc.",736082,-8620,141315076.51,826.05,842.1,762.06
Fixed Maturity 2025 Bond Fund,2019-03-22,Exxon Mobil Corp.,296968,7402,7262282.32,170.37,850.27,63.96
Fixed Maturity 2025 Bond Fund,2019-10-02,Chevron Corp.,668312,2738,270063123.32,488.77,340.9,668.7
Target Maturity 2029 Bond Fund,2022-08-20,"Amazon.com, Inc.",333043,4238,113554081.81,531.78,860.89,469.42
Subordinated Financials Fund,2019-09-26,Morgan Stanley,707232,-7958,180583667.8,222.52,430.31,735.51
Equity Diversified Selection Fund,2019-11-05,"Netflix, Inc.",907840,-2556,220558559.98,982.04,445.53,245.15
Sustainable Retail Fund,2018-09-11,"Beyond Meat, Inc.",45272,5665,396619732.35,734.76,145.02,452.02
Subordinated Financials Fund,2018-12-19,Morgan Stanley,648000,-594,23844624.95,966.58,861.13,23.12
Impact Credit Strategies Fund,2017-02-05,"First Solar, Inc.",413256,3412,449253964.03,32.95,24.93,714.13
Community Savings Bond Fund,2020-07-05,"Walmart, Inc.",569796,-7049,36725295.61,961.35,259.33,927.72
Global Short Term Credit Fund,2021-08-22,Bank of America Corp.,47777,8085,245510947.84,942.07,224.99,976.98
Fixed Maturity 2025 Bond Fund,2022-10-29,Chevron Corp.,937339,-7286,408946078.69,477.87,395.39,908.66
Target Maturity 2029 Bond Fund,2019-03-17,"Amazon.com, Inc.",325520,-5153,236336171.32,400.27,232.88,691.22
Target Maturity 2029 Bond Fund,2021-10-20,"Amazon.com, Inc.",575879,-6946,209176813.22,715.74,685.88,114.88
Target Maturity 2029 Bond Fund,2020-08-10,Microsoft Corp.,650013,-9392,55894147.57,259.31,28.43,280.97
Sustainable Retail Fund,2020-06-20,"Tesla, Inc.",648427,-3601,406347470.03,530.91,903.32,602.02
Sustainable Retail Fund,2017-12-13,"The Hain Celestial Group, Inc.",973967,9857,393281375.15,715.62,726.45,699.93
Global Cross Asset Fund,2019-11-30,Alibaba Group Holding Ltd.,211471,3093,397633080.48,959.74,840.89,234.74
Equity Diversified Selection Fund,2022-01-28,"Facebook, Inc.",324228,-7200,191766561.71,512.17,518.29,923.08
Equity Diversified Selection Fund,2018-07-02,"Facebook, Inc.",629617,4084,55194799.91,937.17,176.48,581.66
Target Maturity 2029 Bond Fund,2019-01-06,Microsoft Corp.,703277,7703,296888221.74,978.25,189.64,173.26
Community Savings Bond Fund,2018-01-08,"Walmart, Inc.",477139,3292,181889759.44,310.62,611.45,232.56
Target Maturity 2029 Bond Fund,2017-07-09,Microsoft Corp.,366007,-3234,346405651.51,694.28,17.67,54.63
Global Short Term Credit Fund,2017-07-13,Bank of America Corp.,890445,-3389,207112880.17,105.33,967.96,938.14
Target Maturity 2029 Bond Fund,2019-05-08,"Apple, Inc.",790859,-2909,41910415.32,980.98,854.45,326.89
Community Savings Bond Fund,2020-02-19,Nestlé SA,841448,7074,444824095.7,652.34,289.12,254.96
Equity Diversified Selection Fund,2021-12-17,"Netflix, Inc.",534132,6885,422271482.21,364.52,134.37,416.06
Fixed Maturity 2025 Bond Fund,2018-07-07,Chevron Corp.,328876,2111,200130587.49,291.2,18.43,488.54
Fixed Maturity 2025 Bond Fund,2017-07-09,Exxon Mobil Corp.,63080,-9532,5772624.19,356.22,487.31,916.88
Global Cross Asset Fund,2020-03-29,Alibaba Group Holding Ltd.,525810,-3563,30922504.19,526.88,786.82,743.72
Target Maturity 2029 Bond Fund,2021-04-10,"Apple, Inc.",266514,6822,226581711.08,164.99,610.76,551.03
Global Cross Asset Fund,2019-03-06,"Berkshire Hathaway, Inc.",539238,4087,98092859.44,820.5,966.5,47.28
Global Short Term Credit Fund,2020-11-13,Bank of America Corp.,615430,-7462,136453070.1,356.13,831.47,549.78
Impact Credit Strategies Fund,2020-06-15,"First Solar, Inc.",233176,3156,422154265.63,137.47,269.15,631.33
Target Maturity 2029 Bond Fund,2021-06-06,"Amazon.com, Inc.",385670,-9459,13289629.62,482.16,367.46,395.78
Sustainable Retail Fund,2021-11-06,"Beyond Meat, Inc.",785206,-5525,169238682.17,23.77,236.35,991.78
Fixed Maturity 2027 Bond Fund,2022-06-01,Volkswagen AG,220910,-8565,212271644.4,877.95,310.16,420.3
Target Maturity 2029 Bond Fund,2020-11-12,Microsoft Corp.,490522,4630,482607220.17,979.56,740.24,245.23
Sustainable Retail Fund,2018-07-27,"The Hain Celestial Group, Inc.",424002,9728,481080521.07,915.92,680.86,319.71
Impact Credit Strategies Fund,2019-09-11,"First Solar, Inc.",898174,7683,316502411.44,548.2,273.43,325.78
Equity Diversified Selection Fund,2020-08-26,"Facebook, Inc.",686524,-6770,21775027.42,23.55,332.64,140.88
Community Savings Bond Fund,2022-10-13,Nestlé SA,389544,6194,481395413.28,599.61,155.67,479.89
Fixed Maturity 2027 Bond Fund,2019-04-01,Volkswagen AG,414721,7060,93421915.75,403.32,153.47,192.43
Subordinated Financials Fund,2020-03-27,"Goldman Sachs Group, Inc.",688619,-6354,85481581.94,277.14,557.2,992.03
Target Maturity 2029 Bond Fund,2017-04-03,"Amazon.com, Inc.",654764,2784,169725427.61,605.49,954.1,599.72
Subordinated Financials Fund,2022-09-07,"Goldman Sachs Group, Inc.",977503,2704,208830045.21,382.51,417.22,796.72
International Fixed Duration Fund,2020-10-13,Allianz SE,164334,-2694,171687331.25,33.27,776.22,495.75
Equity Diversified Selection Fund,2017-01-25,Google LLC,341144,-2069,320587023.64,544.85,721.06,770.9
International Fixed Duration Fund,2022-01-23,Ping An Insurance (Group) Co. of China Ltd.,486357,6846,410603697.91,203.69,361.31,408.1
Global Cross Asset Fund,2022-01-15,Johnson & Johnson,825041,9915,125350784.63,270.84,36.27,312.01
Equity Diversified Selection Fund,2018-06-18,"Facebook, Inc.",951058,-8654,3684906.85,818.84,193.69,285.73
International Fixed Duration Fund,2022-12-05,Ping An Insurance (Group) Co. of China Ltd.,792649,-896,39060528.25,81.31,301.22,974.96
Equity Diversified Selection Fund,2017-10-23,Google LLC,104006,8662,69346871.85,132.55,321.06,708.83
Impact Credit Strategies Fund,2018-09-16,"First Solar, Inc.",269525,2414,105227422.96,136.72,263.28,725.03
Subordinated Financials Fund,2022-05-03,Citigroup Inc.,927856,-5579,369746076.17,293.55,187.01,31.85
Fixed Maturity 2027 Bond Fund,2018-11-20,Ford Motor Co.,212292,-7531,55155813.94,508.83,250.43,501.11
Subordinated Financials Fund,2020-10-27,Morgan Stanley,291229,-4572,220767430.25,716.59,875.17,88.22
Fixed Maturity 2027 Bond Fund,2018-08-24,Toyota Motor Corp.,242715,-366,397274637.67,729.99,622.74,215.95
Target Maturity 2029 Bond Fund,2020-02-05,Microsoft Corp.,210536,-2728,437956092.02,436.81,944.38,320.75
Sustainable Retail Fund,2018-12-25,"The Hain Celestial Group, Inc.",249998,-884,90799720.82,974.39,154.67,215.03
Community Savings Bond Fund,2019-04-09,"Walmart, Inc.",916467,6782,235491533.6,284.95,763.52,789.37
Equity Diversified Selection Fund,2022-10-15,"Facebook, Inc.",160367,2896,484730243.41,532.58,931.18,142.58
Global Cross Asset Fund,2018-04-25,Johnson & Johnson,493671,-1979,353331349.69,182.02,18.09,559.46
Equity Diversified Selection Fund,2019-08-25,"Facebook, Inc.",720969,-7272,293133073.73,394.9,756.01,889.25
Fixed Maturity 2025 Bond Fund,2018-08-26,Exxon Mobil Corp.,321084,3926,161078869.39,20.19,34.27,550.63
International Fixed Duration Fund,2018-03-14,Allianz SE,84204,1457,107450527.04,699.53,270.35,797.23
Impact Credit Strategies Fund,2021-10-04,"SolarEdge Technologies, Inc.",914981,-3825,490755907.69,311.15,933.03,960.14
Fixed Maturity 2025 Bond Fund,2022-01-17,BP Plc,34378,6577,403949307.86,654.32,142.58,366.08
International Fixed Duration Fund,2018-06-16,Ping An Insurance (Group) Co. of China Ltd.,223997,-2855,45504424.12,504.23,668.59,508.72
International Fixed Duration Fund,2022-04-09,Allianz SE,298048,-7632,272160011.14,796.11,259.66,327.14
Sustainable Retail Fund,2020-12-23,"Beyond Meat, Inc.",706413,-5258,277434970.45,58.76,24.34,73.06
Subordinated Financials Fund,2020-08-31,Morgan Stanley,737004,3730,61916127.1,623.78,329.84,540.18
Impact Credit Strategies Fund,2020-08-21,"SolarEdge Technologies, Inc.",425717,-650,409249217.77,428.98,963.77,849.52
Impact Credit Strategies Fund,2020-04-27,Vestas Wind Systems A/S,148457,-5211,472952187.75,518.4,600.56,508.02
Community Savings Bond Fund,2019-04-09,Nestlé SA,590333,1128,437792332.76,320.1,360.36,840.81
Sustainable Retail Fund,2017-01-28,"Beyond Meat, Inc.",233844,-2697,485448708.57,52.13,726.35,285.27
Equity Diversified Selection Fund,2021-07-23,Google LLC,973941,5712,235501510.92,662.63,359.41,991.12
Fixed Maturity 2025 Bond Fund,2020-02-25,Chevron Corp.,850553,5693,223793921.53,257.25,804.73,388.33
Impact Credit Strategies Fund,2020-10-11,Vestas Wind Systems A/S,717252,6591,190887006.42,583.94,772.99,295.71
Global Short Term Credit Fund,2020-10-16,HSBC Holdings Plc,720987,-5252,414917529.89,995.97,841.88,463.17
Fixed Maturity 2027 Bond Fund,2017-09-28,Ford Motor Co.,27299,7397,165645392.46,563.41,175.31,841.14
Impact Credit Strategies Fund,2020-01-18,"SolarEdge Technologies, Inc.",868059,4791,287458859.23,801.36,332.51,348.36
Global Short Term Credit Fund,2021-03-28,JPMorgan Chase & Co.,625160,-2269,2727291.79,40.76,715.36,288.84
Fixed Maturity 2025 Bond Fund,2018-03-31,Exxon Mobil Corp.,944976,4901,310487329.76,225.95,896.35,93.47
Global Cross Asset Fund,2021-04-04,Johnson & Johnson,415632,-6786,254696359.32,58.59,143.17,932.36
Sustainable Retail Fund,2018-09-27,"Beyond Meat, Inc.",786571,-6360,336437827.75,702.97,37.34,98.34
Fixed Maturity 2025 Bond Fund,2018-07-19,Chevron Corp.,355777,8733,257416391.55,95.86,425.01,881.73
Impact Credit Strategies Fund,2017-09-17,"SolarEdge Technologies, Inc.",840018,-9055,209261960.63,774.25,233.96,723.09
Sustainable Retail Fund,2018-12-05,"The Hain Celestial Group, Inc.",872547,1023,70025187.79,901.97,792.34,848.78
Global Short Term Credit Fund,2017-05-29,HSBC Holdings Plc,431786,-6094,113657419.45,676.14,394.78,19.45
Equity Diversified Selection Fund,2017-02-06,Google LLC,177568,7405,458226528.68,989.06,510.86,387.53
Fixed Maturity 2027 Bond Fund,2021-09-20,Toyota Motor Corp.,813946,-5236,185498075.44,747.35,994.0,650.18
Equity Diversified Selection Fund,2017-01-10,Google LLC,250477,-6121,281099192.48,314.32,908.08,488.32
Equity Diversified Selection Fund,2018-09-29,Google LLC,363263,7847,380340171.21,834.85,307.88,135.49
Target Maturity 2029 Bond Fund,2019-06-24,Microsoft Corp.,28950,5124,300367607.78,517.09,806.22,296.74
Global Cross Asset Fund,2021-01-31,"Berkshire Hathaway, Inc.",338015,-8366,8591422.75,636.5,136.46,658.4
International Fixed Duration Fund,2020-11-17,AXA SA,257522,8856,322952231.28,792.45,322.29,60.41
Target Maturity 2029 Bond Fund,2019-05-28,"Amazon.com, Inc.",361189,2898,376150215.53,261.05,728.2,127.72
Sustainable Retail Fund,2020-09-15,"Tesla, Inc.",354285,7527,444716254.45,765.63,894.71,761.58
Sustainable Retail Fund,2020-03-10,"Beyond Meat, Inc.",512651,-10000,437200232.49,282.93,212.26,387.9
Impact Credit Strategies Fund,2018-12-02,"First Solar, Inc.",341755,2838,406814334.1,114.3,615.2,454.08
Impact Credit Strategies Fund,2020-04-30,"SolarEdge Technologies, Inc.",509933,-3999,334905166.24,362.93,285.48,158.97
Community Savings Bond Fund,2017-10-08,Nestlé SA,699986,-4013,64960137.59,576.39,133.14,554.44
Global Cross Asset Fund,2020-02-21,Johnson & Johnson,539569,-5691,358235551.64,489.92,712.95,85.56
Fixed Maturity 2027 Bond Fund,2022-06-19,Volkswagen AG,270383,-1521,36170011.48,304.11,136.19,827.14
International Fixed Duration Fund,2017-11-15,Allianz SE,783721,6548,406927615.75,742.98,939.39,249.51
Community Savings Bond Fund,2021-09-04,Nestlé SA,275030,-532,354129330.54,58.56,855.43,740.96
Global Cross Asset Fund,2019-07-18,Johnson & Johnson,183199,-9540,23389299.18,638.91,218.64,365.31
Fixed Maturity 2027 Bond Fund,2020-12-07,Ford Motor Co.,465836,-4773,180076211.29,583.98,292.0,210.92
Sustainable Retail Fund,2022-01-08,"Tesla, Inc.",196662,6963,278492966.19,187.43,272.16,149.94
Target Maturity 2029 Bond Fund,2017-12-10,"Apple, Inc.",881899,-4556,457138558.27,690.17,607.79,850.42
Subordinated Financials Fund,2018-02-22,Citigroup Inc.,350243,-9803,480276604.34,918.98,222.12,856.09
Target Maturity 2029 Bond Fund,2018-07-20,"Apple, Inc.",359566,904,4372304.72,473.7,679.26,824.97
Global Short Term Credit Fund,2020-12-25,Bank of America Corp.,882686,1846,9486526.98,176.83,940.53,78.33
Community Savings Bond Fund,2020-11-30,Nestlé SA,532763,-4543,210519970.38,281.91,531.33,563.5
Equity Diversified Selection Fund,2020-11-15,"Facebook, Inc.",708227,-6135,230121168.43,799.09,349.09,673.57
Subordinated Financials Fund,2022-07-08,Citigroup Inc.,141567,-4984,338928992.16,902.5,974.6,643.53
Global Short Term Credit Fund,2022-11-07,HSBC Holdings Plc,776935,2539,374058353.13,96.46,225.38,945.11
Target Maturity 2029 Bond Fund,2021-12-06,"Apple, Inc.",8106,-934,419813101.9,411.46,782.26,219.38
Global Short Term Credit Fund,2022-11-17,HSBC Holdings Plc,775164,-2679,125005057.67,720.44,704.14,132.79
Equity Diversified Selection Fund,2022-03-29,"Facebook, Inc.",87533,-1693,124566021.01,474.09,137.63,98.67
Global Cross Asset Fund,2020-03-23,Alibaba Group Holding Ltd.,642174,-7907,381366493.39,403.24,814.7,235.21
Community Savings Bond Fund,2017-02-16,Nestlé SA,367535,2340,298950894.13,213.1,337.91,18.61
Sustainable Retail Fund,2020-09-04,"The Hain Celestial Group, Inc.",281303,7307,290483989.38,198.45,716.52,366.06
Global Short Term Credit Fund,2019-02-10,JPMorgan Chase & Co.,455354,-4766,449910306.4,126.9,432.06,86.65
Sustainable Retail Fund,2021-01-17,"The Hain Celestial Group, Inc.",186374,-4647,430886087.45,895.07,339.66,693.54
Community Savings Bond Fund,2018-05-24,Procter & Gamble Co.,714317,-6324,351556140.58,836.7,23.89,14.24
Community Savings Bond Fund,2019-11-12,"Walmart, Inc.",294805,528,428167137.61,22.87,393.95,309.74
Fixed Maturity 2027 Bond Fund,2017-06-02,Volkswagen AG,508392,-8227,230468019.29,388.86,343.57,987.12
Community Savings Bond Fund,2022-08-12,"Walmart, Inc.",122567,-7226,400570933.64,563.85,891.77,726.76
Global Cross Asset Fund,2017-06-08,"Berkshire Hathaway, Inc.",356539,6388,147562733.98,921.15,244.72,311.33
Equity Diversified Selection Fund,2020-07-26,"Facebook, Inc.",583472,1895,187703502.14,360.86,53.27,16.0
Global Cross Asset Fund,2022-07-30,Alibaba Group Holding Ltd.,668320,3513,337604052.95,705.84,210.26,796.55
Equity Diversified Selection Fund,2018-04-26,"Facebook, Inc.",565966,-2600,404260764.57,18.93,581.56,389.98
Subordinated Financials Fund,2021-11-04,Morgan Stanley,496317,5703,293016006.45,675.86,609.45,990.63
Equity Diversified Selection Fund,2017-02-02,Google LLC,226420,6828,139796997.47,945.79,688.0,309.16
Fixed Maturity 2027 Bond Fund,2017-02-09,Ford Motor Co.,920039,-8477,259365251.52,345.14,491.82,868.01
International Fixed Duration Fund,2017-05-12,Allianz SE,114109,6424,466098802.19,908.15,948.89,664.31
International Fixed Duration Fund,2022-06-03,Ping An Insurance (Group) Co. of China Ltd.,783166,-4944,65802660.13,309.49,612.58,902.91
Equity Diversified Selection Fund,2021-04-28,Google LLC,844708,-3286,128895405.31,667.25,792.27,897.34
Fixed Maturity 2027 Bond Fund,2019-02-16,Toyota Motor Corp.,377286,7146,215432565.0,355.07,924.8,475.59
Fixed Maturity 2025 Bond Fund,2021-05-27,BP Plc,383906,5198,275577680.8,328.18,869.1,974.73
Subordinated Financials Fund,2017-02-19,Citigroup Inc.,597112,6623,325905172.04,144.79,98.3,429.23
Community Savings Bond Fund,2020-06-18,Nestlé SA,665674,8980,371445678.06,657.27,202.59,943.55
International Fixed Duration Fund,2022-11-22,Ping An Insurance (Group) Co. of China Ltd.,354598,5729,16570311.22,700.76,59.42,716.59
Target Maturity 2029 Bond Fund,2021-03-19,"Apple, Inc.",281862,-426,369354020.67,475.07,302.14,821.05
Community Savings Bond Fund,2018-01-19,"Walmart, Inc.",516632,7665,259434034.68,152.6,756.42,785.84
Global Cross Asset Fund,2022-02-05,Alibaba Group Holding Ltd.,401152,2907,168674048.11,571.08,193.42,587.11
Fixed Maturity 2027 Bond Fund,2022-09-17,Volkswagen AG,549688,5074,235909900.92,553.33,775.69,455.0
Global Short Term Credit Fund,2019-12-04,JPMorgan Chase & Co.,830387,8312,240214775.48,690.91,555.61,27.29
Global Cross Asset Fund,2018-09-07,Alibaba Group Holding Ltd.,164765,2027,376042119.36,53.45,656.03,136.68
Global Short Term Credit Fund,2021-12-25,JPMorgan Chase & Co.,597952,5669,19184810.0,476.57,768.86,519.62
Community Savings Bond Fund,2020-11-01,Nestlé SA,195131,-3107,473851158.08,901.16,702.93,845.13
Global Cross Asset Fund,2017-10-12,Alibaba Group Holding Ltd.,211497,-6045,138138906.76,851.52,422.29,284.72
Fixed Maturity 2027 Bond Fund,2017-08-15,Volkswagen AG,580956,5383,309623432.72,751.19,973.97,793.94
Global Short Term Credit Fund,2017-09-06,JPMorgan Chase & Co.,88050,3844,359855066.21,678.88,503.05,370.66
Community Savings Bond Fund,2020-04-01,Procter & Gamble Co.,298628,1390,331406048.87,493.25,185.08,386.3
Sustainable Retail Fund,2020-02-05,"Tesla, Inc.",826356,-965,6459123.31,140.48,49.83,174.96
Fixed Maturity 2025 Bond Fund,2018-04-22,Chevron Corp.,819806,-815,292510219.25,932.07,615.51,346.66
Fixed Maturity 2025 Bond Fund,2022-11-01,BP Plc,557737,3687,17380118.69,703.32,46.14,538.98
Sustainable Retail Fund,2017-12-04,"Beyond Meat, Inc.",182905,-6187,426820009.29,399.96,138.18,638.17
Fixed Maturity 2025 Bond Fund,2017-05-11,BP Plc,878816,-9621,350756665.69,761.9,60.15,953.56
Global Short Term Credit Fund,2018-07-06,HSBC Holdings Plc,919939,1717,261042082.02,767.99,401.18,648.54
International Fixed Duration Fund,2021-03-14,AXA SA,117662,-1227,335295151.71,112.75,310.71,326.75
Fixed Maturity 2027 Bond Fund,2018-07-08,Toyota Motor Corp.,367472,-6771,364817494.26,869.17,751.92,711.35
Equity Diversified Selection Fund,2020-08-09,"Netflix, Inc.",431798,6773,203333180.53,450.62,234.27,423.86
Global Cross Asset Fund,2022-03-12,Johnson & Johnson,96271,5825,158721939.97,282.67,734.25,335.8
Fixed Maturity 2027 Bond Fund,2017-12-01,Volkswagen AG,929343,-7266,460601952.73,513.5,995.99,442.8
Sustainable Retail Fund,2021-05-18,"Beyond Meat, Inc.",561613,411,319747497.26,259.73,798.3,598.66
Global Cross Asset Fund,2020-04-04,"Berkshire Hathaway, Inc.",592842,7188,227382038.76,286.82,893.95,529.05
Sustainable Retail Fund,2017-04-23,"The Hain Celestial Group, Inc.",932388,-9949,163772534.03,354.25,590.0,229.12
Community Savings Bond Fund,2017-12-19,Procter & Gamble Co.,899179,6007,151625838.9,659.72,106.79,577.76
Subordinated Financials Fund,2021-01-29,Citigroup Inc.,540709,9649,215772005.36,549.87,555.45,377.18
Equity Diversified Selection Fund,2017-02-05,"Netflix, Inc.",983950,-8631,96111221.43,177.74,684.18,244.14
Global Short Term Credit Fund,2021-09-12,Bank of America Corp.,672364,-2169,232037346.73,463.5,745.5,931.12
Sustainable Retail Fund,2018-12-26,"The Hain Celestial Group, Inc.",709625,4971,21591795.92,299.25,23.32,80.59
Subordinated Financials Fund,2018-09-16,Morgan Stanley,498695,-3273,450384541.09,209.61,46.3,431.09
Global Short Term Credit Fund,2017-05-08,HSBC Holdings Plc,199588,-3569,297747054.46,277.8,958.72,845.48
Impact Credit Strategies Fund,2021-05-26,"SolarEdge Technologies, Inc.",896320,-3188,54143722.54,844.02,602.86,237.01
Subordinated Financials Fund,2022-02-06,"Goldman Sachs Group, Inc.",485658,-7826,143834033.13,598.93,941.91,699.01
Equity Diversified Selection Fund,2021-08-31,"Netflix, Inc.",614355,8278,418479604.28,569.22,59.25,427.3
Impact Credit Strategies Fund,2020-11-10,"SolarEdge Technologies, Inc.",929995,4547,44237257.86,662.5,875.48,639.56
Community Savings Bond Fund,2017-12-02,Nestlé SA,513062,2191,157909805.35,211.96,283.88,589.32
Target Maturity 2029 Bond Fund,2019-03-25,"Apple, Inc.",948979,9323,423608999.88,699.64,887.66,165.32
Sustainable Retail Fund,2021-12-29,"Tesla, Inc.",813653,7131,214610293.43,955.79,569.39,414.94
Impact Credit Strategies Fund,2019-11-24,Vestas Wind Systems A/S,786350,9639,411370504.94,942.86,867.36,882.06
Community Savings Bond Fund,2018-03-29,Procter & Gamble Co.,646682,-9976,11908978.83,65.33,480.01,179.8
Impact Credit Strategies Fund,2021-09-23,"SolarEdge Technologies, Inc.",114372,-6688,65703441.22,663.42,692.45,742.4
Subordinated Financials Fund,2022-06-28,Citigroup Inc.,48441,640,307905737.21,104.1,872.73,556.6
International Fixed Duration Fund,2017-11-04,AXA SA,591079,8053,174071077.92,907.69,428.55,576.36
Equity Diversified Selection Fund,2018-07-19,"Netflix, Inc.",126831,6438,336812701.54,246.15,587.5,803.33
Fixed Maturity 2027 Bond Fund,2019-08-22,Toyota Motor Corp.,144501,214,446586364.13,69.28,194.92,716.56
Global Cross Asset Fund,2022-07-23,"Berkshire Hathaway, Inc.",437907,5687,182369699.35,429.62,583.3,37.55
Equity Diversified Selection Fund,2022-06-21,"Netflix, Inc.",110844,9859,483866751.32,943.75,671.65,865.88
Fixed Maturity 2025 Bond Fund,2018-12-18,BP Plc,84049,-1966,227036220.72,402.9,246.79,88.51
Fixed Maturity 2027 Bond Fund,2017-06-12,Ford Motor Co.,596054,6607,258609734.67,989.34,850.61,414.75
Subordinated Financials Fund,2022-06-25,Morgan Stanley,874752,1258,158540595.36,883.77,894.88,432.65
Sustainable Retail Fund,2022-06-27,"Tesla, Inc.",278609,9075,398169386.21,165.76,445.89,385.41
Fixed Maturity 2027 Bond Fund,2019-09-29,Volkswagen AG,238196,-4649,407312757.49,357.82,550.23,861.45
Fixed Maturity 2025 Bond Fund,2017-07-04,BP Plc,441259,-6915,498755516.5,485.32,616.44,270.4
Equity Diversified Selection Fund,2022-01-20,"Facebook, Inc.",884582,9176,307165695.87,714.55,327.56,38.88
Community Savings Bond Fund,2021-08-08,Nestlé SA,819808,5924,289985458.32,495.87,829.14,873.23
Equity Diversified Selection Fund,2022-07-30,Google LLC,51045,-909,190064230.75,882.75,64.52,104.44
Global Cross Asset Fund,2020-09-27,Johnson & Johnson,663535,2591,149644431.37,487.91,930.14,201.63
Global Short Term Credit Fund,2022-05-22,JPMorgan Chase & Co.,350334,8684,132460221.23,264.54,501.73,241.28
Global Short Term Credit Fund,2020-06-02,HSBC Holdings Plc,502059,-2989,92438487.57,399.1,48.69,626.17
International Fixed Duration Fund,2020-04-28,Allianz SE,210543,-3579,374988192.2,716.61,922.77,420.71
International Fixed Duration Fund,2020-03-09,AXA SA,231537,1117,17123024.43,966.29,451.22,445.92
Global Short Term Credit Fund,2017-01-13,Bank of America Corp.,891700,-5129,417841890.42,933.76,772.86,36.89
Impact Credit Strategies Fund,2021-09-20,Vestas Wind Systems A/S,940212,5147,476648858.45,921.09,18.93,711.84
Fixed Maturity 2027 Bond Fund,2019-09-08,Ford Motor Co.,149207,9952,46585798.18,348.38,793.74,615.11
Equity Diversified Selection Fund,2019-07-13,"Netflix, Inc.",981735,740,227079561.95,198.49,392.3,164.01
Fixed Maturity 2027 Bond Fund,2017-06-16,Ford Motor Co.,374245,-4634,469662483.89,426.78,928.58,233.05
Fixed Maturity 2025 Bond Fund,2018-04-19,BP Plc,412777,-8644,357588168.41,491.03,706.23,121.74
Subordinated Financials Fund,2021-01-14,Citigroup Inc.,159160,-2900,184809293.59,307.5,800.87,248.37
Global Short Term Credit Fund,2020-11-09,Bank of America Corp.,200618,-3110,257535859.91,667.05,726.3,857.35
Sustainable Retail Fund,2019-07-03,"Tesla, Inc.",258004,-1011,372680520.98,877.6,752.28,349.21
