FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
European High Yield Bond Fund,2022-05-25,Mercedes-Benz Group AG,1768,1496,568938.2177921308,754.2358243123862,707.0165378097096,219.73058368949515
Global Cross Asset Fund,2022-05-24,"Samsung Electronics Co., Ltd.",6607,91,73066.07145948305,585.9679767722573,961.075827497712,512.9581079264738
International Fixed Duration Fund,2022-05-23,Comcast Corp.,4202,3985,877061.6436310108,127.49380910480966,793.0668609790638,412.95939957992005
Global Cross Asset Fund,2022-05-22,"UnitedHealth Group, Inc.",3787,-4323,827061.9916000398,703.3187489472725,154.33458945389677,239.71392000223227
Global Short Term Credit Fund,2022-05-21,Saudi Arabian Oil Co.,3210,909,352920.8698668177,705.7356281984256,741.0984699698444,299.1390361766612
Global Short Term Credit Fund,2022-05-20,Pfizer Inc.,8399,-3439,571150.9321517749,553.001581634956,668.991078427464,433.13315904725437
Fixed Maturity 2027 Bond Fund,2022-05-19,"UnitedHealth Group, Inc.",7338,-947,932905.4212026186,99.64332218865235,649.583539716235,352.6987428520462
Fixed Maturity 2025 Bond Fund,2022-05-18,Tencent Holdings Ltd.,9733,3644,278920.4294379757,359.11759082536196,485.93717993008363,387.76002652787366
Fixed Maturity 2025 Bond Fund,2022-05-17,Sony Group Corp.,1358,-1344,745030.7150179049,60.414866550433956,71.83928061782656,738.0802753545362
Community Savings Bond Fund,2022-05-16,"PetroChina Co., Ltd.",1849,234,91904.4892477951,482.8200586381274,951.9699198349691,176.6961135654112
Target Maturity 2029 Bond Fund,2022-05-15,Intel Corp.,8498,-854,528138.4259962614,907.3826605751029,853.4054477771678,631.3424014591002
Global Cross Asset Fund,2022-05-14,Saudi Arabian Oil Co.,5522,488,885129.4381528246,12.230452786794489,491.93995703773936,681.3761978913565
Equity Diversified Selection Fund,2022-05-13,"AbbVie, Inc.",3544,3081,556192.1913075828,273.97226651198804,166.99515795450034,804.0661757149774
Sustainable Retail Fund,2022-05-12,"AbbVie, Inc.",2831,-4791,620090.2985687304,801.8605101366041,826.227931277201,848.8539035565624
Impact Credit Strategies Fund,2022-05-11,Petróleo Brasileiro SA,2472,-17,908562.9003764486,19.762225483390452,436.36488935509396,167.07888803244367
Fixed Maturity 2025 Bond Fund,2022-05-10,Industrial & Commercial Bank of China Ltd.,1329,2141,718207.0336493048,20.07170267554664,396.21278427129585,146.8781535068222
Impact Credit Strategies Fund,2022-05-09,Intel Corp.,6851,-55,698910.9834220229,614.7104002334551,668.7284096133744,618.6233030151429
Fixed Maturity 2027 Bond Fund,2022-05-08,Petróleo Brasileiro SA,8032,2980,590520.1818719695,791.3077592305987,761.088644547325,759.3473850771348
Impact Credit Strategies Fund,2022-05-07,Intel Corp.,6266,-1034,636658.7280504942,778.740363292004,72.2123292542535,279.60316593728567
Sustainable Retail Fund,2022-05-06,Mercedes-Benz Group AG,5354,3818,805668.3697764511,781.7822405417941,769.8808523186777,530.5887335173818
European High Yield Bond Fund,2022-05-05,"AbbVie, Inc.",7435,4650,979440.7524642718,367.39628136948903,736.6010963381118,774.5170363056533
Sustainable Retail Fund,2022-05-04,Saudi Arabian Oil Co.,8978,-2176,797372.1004681061,883.8969028317142,593.3175144168231,769.8280771580497
Impact Credit Strategies Fund,2022-05-03,Tencent Holdings Ltd.,5238,-3750,710461.4633107262,22.70724538276953,345.03472521455296,657.281964452608
Sustainable Retail Fund,2022-05-02,Gazprom PJSC,7112,-242,144189.43477539968,319.0668494045774,173.1541257832696,87.99981897403134
International Fixed Duration Fund,2022-05-01,"AbbVie, Inc.",5722,-637,818909.5835672762,343.815817887036,111.6264394920246,60.137421672966745
Fixed Maturity 2027 Bond Fund,2022-04-30,"AT&T, Inc.",2388,-2837,738634.4237247161,173.91541456134573,11.171856781382289,394.5608569489198
Global Cross Asset Fund,2022-04-29,"Taiwan Semiconductor Manufacturing Co., Ltd.",5185,4815,772727.8734472215,342.86371326217824,214.3955739351719,36.42055221442676
European High Yield Bond Fund,2022-04-28,China Mobile Ltd.,9911,-3147,238785.5134608788,590.0252887515879,417.2236003494732,905.1028885362048
Equity Diversified Selection Fund,2022-04-27,"UnitedHealth Group, Inc.",4235,-4247,904409.2595755184,525.0765195704087,251.2078880860835,29.943218107176964
Fixed Maturity 2025 Bond Fund,2022-04-26,"AbbVie, Inc.",5576,448,106308.55466339356,326.23308499869444,315.8892630689598,39.31673352056174
Global Short Term Credit Fund,2022-04-25,Reliance Industries Ltd.,2100,-3132,261075.9351350271,751.834238545631,396.5478912073803,173.67410458774566
Global Cross Asset Fund,2022-04-24,"AbbVie, Inc.",9864,-4819,666393.2039411577,717.6426726534291,315.1796853807768,630.7449802697047
Global Short Term Credit Fund,2022-04-23,"Samsung Electronics Co., Ltd.",9708,-3487,676977.319192705,287.889512309636,727.3748282721434,546.1385991804925
Fixed Maturity 2027 Bond Fund,2022-04-22,Petróleo Brasileiro SA,3532,4094,320191.32063781656,329.9961088501383,496.80952127332023,662.8922651897975
European High Yield Bond Fund,2022-04-21,Comcast Corp.,8770,-1656,704504.5793406967,294.6449966458064,29.13387627452029,894.6195896969214
Community Savings Bond Fund,2022-04-20,Tencent Holdings Ltd.,4670,238,394051.2322783233,137.56265484610338,234.40154904868038,460.3961943035818
Fixed Maturity 2025 Bond Fund,2022-04-19,Gazprom PJSC,1781,2089,10173.76069934407,755.2538265312463,712.5616621881854,53.437216121693424
International Fixed Duration Fund,2022-04-18,TotalEnergies SE,4523,1401,170980.07096450968,55.813745410096566,307.921218053918,765.8616589593432
Community Savings Bond Fund,2022-04-17,Mercedes-Benz Group AG,7131,-2444,883792.0924659927,159.07468916238855,920.9403539820584,813.8448181460325
Fixed Maturity 2027 Bond Fund,2022-04-16,Reliance Industries Ltd.,5782,1098,230467.07161212465,114.25147257036896,715.5374069729464,59.389476287700155
Global Cross Asset Fund,2022-04-15,Reliance Industries Ltd.,5995,280,121781.23547028715,827.085585769091,297.0277061208449,250.42080070109913
International Fixed Duration Fund,2022-04-14,Comcast Corp.,2501,-756,685378.5998738626,53.56843023288348,521.2457477117097,772.8908313384167
Sustainable Retail Fund,2022-04-13,Sony Group Corp.,4080,-2836,446299.37798563874,667.9810170173932,670.566639878368,382.3936861608487
Impact Credit Strategies Fund,2022-04-12,Reliance Industries Ltd.,1502,1601,798625.0270336679,54.02985242669544,201.43220668372436,477.92488447977473
International Fixed Duration Fund,2022-04-11,"AbbVie, Inc.",4885,-2979,862830.4852201303,788.5789698825813,253.72559320799368,824.9439850534333
Equity Diversified Selection Fund,2022-04-10,Petróleo Brasileiro SA,9009,-2179,847528.9886133592,913.586945529811,512.052508403634,103.67334302505108
Fixed Maturity 2027 Bond Fund,2022-04-09,"UnitedHealth Group, Inc.",1623,938,319879.12700492435,491.9747341762158,925.6457752653893,680.5114812206514
Target Maturity 2029 Bond Fund,2022-04-08,Deutsche Telekom AG,2050,1132,510490.47858848254,806.4963830021727,350.57026318903905,222.83454288348918
Impact Credit Strategies Fund,2022-04-07,China Mobile Ltd.,8385,4762,653640.3173004945,709.3464275217261,408.1090248196994,72.02491676575133
Global Short Term Credit Fund,2022-04-06,Pfizer Inc.,7081,969,328763.2564112827,797.6789392517325,198.71400857469845,665.8728671351507
Fixed Maturity 2025 Bond Fund,2022-04-05,China Mobile Ltd.,6484,1168,50688.32219948796,769.1074475307286,597.2766083203784,130.19813044339108
Global Short Term Credit Fund,2022-04-04,"UnitedHealth Group, Inc.",4772,-4287,500707.7384739499,213.31420490134462,742.7492397784885,749.5371862144915
International Fixed Duration Fund,2022-04-03,Reliance Industries Ltd.,4916,2203,22690.150130937753,504.56342005324166,446.23584364652424,210.6783373426651
Global Short Term Credit Fund,2022-04-02,Saudi Arabian Oil Co.,5018,-1455,951139.1684786876,960.810045255122,752.7468858632202,58.02690015427355
Equity Diversified Selection Fund,2022-04-01,China Mobile Ltd.,2329,3414,798716.8096122962,350.09761513567673,309.5786761342778,108.30449034256074
Fixed Maturity 2027 Bond Fund,2022-03-31,"AT&T, Inc.",5114,-4137,200089.67875835858,970.7822197306938,709.9145738482164,842.8575462584478
Sustainable Retail Fund,2022-03-30,Pfizer Inc.,4367,-375,294696.0314030091,587.3300943193985,265.76108783874963,377.2585341768715
Global Cross Asset Fund,2022-03-29,China Mobile Ltd.,9095,307,983010.1625392439,466.99530348911964,782.8430463538544,309.2439749537437
Fixed Maturity 2025 Bond Fund,2022-03-28,Tencent Holdings Ltd.,6141,-3575,379813.0685998913,661.1798903759401,832.3351625162173,496.2868315154013
Equity Diversified Selection Fund,2022-03-27,Sony Group Corp.,4951,-2696,785885.1338595534,817.6807794659168,799.7464316761909,636.6032431615835
Equity Diversified Selection Fund,2022-03-26,Deutsche Telekom AG,6084,-4347,452347.3137350618,400.26607330224175,223.31787979211973,46.73122285996605
Global Short Term Credit Fund,2022-03-25,Bayerische Motoren Werke AG,2573,4351,865454.9648596041,42.62463336349156,697.3069435149994,899.2066283160262
Global Short Term Credit Fund,2022-03-24,"Verizon Communications, Inc.",3634,3129,706715.9730798939,711.7182349907073,543.1549835025858,958.8965511721931
International Fixed Duration Fund,2022-03-23,Pfizer Inc.,3768,1734,32680.959292247757,956.6051166524113,986.1766200891572,423.1337479933205
Global Cross Asset Fund,2022-03-22,Saudi Arabian Oil Co.,6302,-4557,301445.9870798448,628.7367837735746,367.9610527692734,418.5026134903021
Community Savings Bond Fund,2022-03-21,Comcast Corp.,7250,2459,562412.391744518,196.5303337600186,773.5388393106501,879.7743220518267
Global Short Term Credit Fund,2022-03-20,China Mobile Ltd.,2211,-331,926912.3036290562,255.76010685929927,376.3773358867438,435.0186801560731
Fixed Maturity 2027 Bond Fund,2022-03-19,TotalEnergies SE,9967,106,111009.59569507546,910.6532114450605,402.88889941250153,857.6280354633487
Target Maturity 2029 Bond Fund,2022-03-18,Industrial & Commercial Bank of China Ltd.,6955,-564,605150.9123339563,23.42647464842593,119.88226256104642,38.05357504449418
Fixed Maturity 2025 Bond Fund,2022-03-17,"Taiwan Semiconductor Manufacturing Co., Ltd.",2160,-2143,309154.964098531,553.2591988087833,247.26457396792944,494.7541026802853
Global Short Term Credit Fund,2022-03-16,Reliance Industries Ltd.,6977,4472,890434.504199246,167.09086874201623,172.83944370661357,952.9047543246378
Fixed Maturity 2027 Bond Fund,2022-03-15,Gazprom PJSC,8041,-1961,767517.9135619281,289.9367908649086,167.60855543348782,260.27661214336587
Fixed Maturity 2027 Bond Fund,2022-03-14,Reliance Industries Ltd.,3383,3291,376005.69478919246,313.9118329983275,18.92636237533756,273.4932722479071
Fixed Maturity 2025 Bond Fund,2022-03-13,Deutsche Telekom AG,6876,-2263,175432.13226952756,227.0899202609443,795.8429617780347,633.8217588255011
Community Savings Bond Fund,2022-03-12,Petróleo Brasileiro SA,4540,1956,21382.992673324796,794.4285420790942,473.25190576028405,926.9289744877574
Fixed Maturity 2027 Bond Fund,2022-03-11,Saudi Arabian Oil Co.,5635,239,624923.1061652292,338.88708223897123,806.1258922811504,206.7548188767467
Target Maturity 2029 Bond Fund,2022-03-10,Shell Plc,2095,-3393,412062.56955493137,352.0301413528826,616.4249051068168,922.4345155922726
Fixed Maturity 2027 Bond Fund,2022-03-09,Pfizer Inc.,6901,-2047,321608.92793216143,458.47674555652446,833.0242858557043,666.3737066737318
Fixed Maturity 2027 Bond Fund,2022-03-08,"Verizon Communications, Inc.",9215,933,985647.2687204672,903.2723358530183,508.7273532050667,993.1168411184435
Fixed Maturity 2027 Bond Fund,2022-03-07,Reliance Industries Ltd.,2079,-318,471480.714204712,691.2913017064162,103.10061092744616,739.0942579881045
Sustainable Retail Fund,2022-03-06,Gazprom PJSC,9370,1333,752340.89080897,71.13220712609993,620.5960068016012,671.1225353101325
Sustainable Retail Fund,2022-03-05,Reliance Industries Ltd.,3847,2392,185638.2930787239,48.86930182620837,680.9872136401126,816.7541402403666
Community Savings Bond Fund,2022-03-04,"Samsung Electronics Co., Ltd.",2960,4047,23320.705164395637,570.7253372812552,630.2391266180445,183.38891609738957
Global Short Term Credit Fund,2022-03-03,Petróleo Brasileiro SA,2473,1609,423386.9932535358,888.1899561099358,803.322952074314,946.5257569030163
Fixed Maturity 2027 Bond Fund,2022-03-02,Shell Plc,5888,-75,669008.1865932351,330.0189612405852,734.1842515661511,173.9395536883019
Global Cross Asset Fund,2022-03-01,Intel Corp.,5979,4578,511532.7092216248,255.29411061314673,438.30612470688044,35.413666197489675
Global Short Term Credit Fund,2022-02-28,"UnitedHealth Group, Inc.",2212,2250,891561.5950481471,750.7091348599483,820.912618900691,700.8782727857647
Community Savings Bond Fund,2022-02-27,"Samsung Electronics Co., Ltd.",6697,4908,439639.5576752931,606.0704528051291,694.868676721261,192.74947186754528
European High Yield Bond Fund,2022-02-26,Petróleo Brasileiro SA,1419,783,317892.78502156027,569.3770689332371,129.1630711298609,761.1656478355659
Global Short Term Credit Fund,2022-02-25,"AbbVie, Inc.",4659,4917,916888.1894455671,157.80818715210572,544.4741862953216,797.0885882025536
Global Short Term Credit Fund,2022-02-24,Comcast Corp.,6283,1723,412734.2558480371,184.20170547437579,731.2702481676389,244.33224824883922
Impact Credit Strategies Fund,2022-02-23,Pfizer Inc.,2340,-4816,276951.3830232155,288.969898164784,557.7553197010976,95.85312726945922
International Fixed Duration Fund,2022-02-22,Tencent Holdings Ltd.,6137,-4479,106684.4660419796,214.77054533511756,949.5383644420816,505.8127566160118
Impact Credit Strategies Fund,2022-02-21,"Verizon Communications, Inc.",6189,-3752,795376.6754836626,971.7302975959717,110.47635552668183,891.316325462608
Target Maturity 2029 Bond Fund,2022-02-20,Industrial & Commercial Bank of China Ltd.,2361,4850,826840.5461898647,28.424906192595788,725.0984759500394,848.8181900190854
Sustainable Retail Fund,2022-02-19,Reliance Industries Ltd.,1591,-3998,42964.80572952027,629.7957750450308,826.2063033152054,125.91163193526614
Sustainable Retail Fund,2022-02-18,"Samsung Electronics Co., Ltd.",1526,1266,365059.1424175095,522.4228366266839,705.6266629561205,965.1354318733434
International Fixed Duration Fund,2022-02-17,"PetroChina Co., Ltd.",8855,1444,752377.6900519801,330.0187235394519,391.72915501376224,271.30970343349435
Fixed Maturity 2025 Bond Fund,2022-02-16,"AT&T, Inc.",2292,2017,946918.0290131733,888.7128249829357,391.62551007129275,355.89726525281014
Fixed Maturity 2025 Bond Fund,2022-02-15,TotalEnergies SE,2654,3585,384040.10100645595,673.4609517638894,590.7018300242626,157.55974064141
Community Savings Bond Fund,2022-02-14,Bayerische Motoren Werke AG,1187,-3383,873332.8970656986,998.3708078099942,403.1270559909813,384.02493588721956
Equity Diversified Selection Fund,2022-02-13,Shell Plc,3758,-4340,399783.20246687316,176.9693997332205,884.3511673921727,639.2846952564831
International Fixed Duration Fund,2022-02-12,"Taiwan Semiconductor Manufacturing Co., Ltd.",9720,524,187699.6809702216,96.98915750915047,118.83131211150588,511.01747751665675
Global Short Term Credit Fund,2022-02-11,Reliance Industries Ltd.,9625,2616,13411.682339100995,148.0032947916805,642.765774493025,829.2640902121573
Fixed Maturity 2025 Bond Fund,2022-02-10,"UnitedHealth Group, Inc.",7431,250,336879.21292135096,276.59805790875026,142.77381116590135,644.8878031442536
Fixed Maturity 2027 Bond Fund,2022-02-09,"Verizon Communications, Inc.",7037,2512,384690.3002200978,422.61912165227653,544.7582044740514,270.9090267348112
Equity Diversified Selection Fund,2022-02-08,Industrial & Commercial Bank of China Ltd.,9494,1905,945666.3535984628,863.9772521519235,718.4253903865881,561.8636513006644
Global Cross Asset Fund,2022-02-07,Pfizer Inc.,5182,-4681,214009.5498964166,290.75584866559774,173.8558073946465,73.54921462932754
Global Short Term Credit Fund,2022-02-06,Tencent Holdings Ltd.,7973,3775,388408.4009373296,916.0908769274054,706.9928892747569,584.9826551370165
Target Maturity 2029 Bond Fund,2022-02-05,Bayerische Motoren Werke AG,1437,-1400,34902.58852488203,468.2786115206695,148.58023089898,395.7671912450638
Fixed Maturity 2027 Bond Fund,2022-02-04,Comcast Corp.,1832,960,765904.3377404725,650.5993183535928,624.3482081728476,107.41450713526935
Fixed Maturity 2027 Bond Fund,2022-02-03,Intel Corp.,9988,279,915989.8238924368,271.76363691539126,510.49749902965675,314.38931346087384
International Fixed Duration Fund,2022-02-02,Deutsche Telekom AG,9751,3773,245442.44080372696,164.45367786330254,305.094204271169,899.106122674975
Equity Diversified Selection Fund,2022-02-01,"UnitedHealth Group, Inc.",9953,-3233,434705.15953376284,870.7623712514687,120.43324354674945,590.1775679558872
Community Savings Bond Fund,2022-01-31,"AbbVie, Inc.",6794,4748,130891.49515233406,118.41111871496229,738.4955982049073,904.2322004536206
Target Maturity 2029 Bond Fund,2022-01-30,Pfizer Inc.,4574,-3202,462267.07600976183,776.2810927093524,387.9870820432359,416.69594710482187
Fixed Maturity 2025 Bond Fund,2022-01-29,Comcast Corp.,4785,4190,142009.03900765444,585.1744630160889,95.66546950044462,979.1195133961871
International Fixed Duration Fund,2022-01-28,Industrial & Commercial Bank of China Ltd.,6220,3949,528115.0094749606,862.5264038620604,775.0614448900055,366.4188629632085
Fixed Maturity 2025 Bond Fund,2022-01-27,"Verizon Communications, Inc.",8750,-4718,737275.8200279108,720.6402279771953,240.5657366489825,759.2365689940542
International Fixed Duration Fund,2022-01-26,"AT&T, Inc.",7818,1337,557809.3470660265,288.8474610904264,739.0875331684653,312.3490526452563
International Fixed Duration Fund,2022-01-25,Tencent Holdings Ltd.,1684,166,252767.3826035022,578.6833212847034,569.2496990813293,114.93064296545911
International Fixed Duration Fund,2022-01-24,Petróleo Brasileiro SA,5233,2121,360258.02561421605,22.942883409392813,202.5837214632607,834.7260307682643
Equity Diversified Selection Fund,2022-01-23,"Verizon Communications, Inc.",1577,2409,642187.0103285761,480.4661589487047,85.64166990304408,764.9557116014581
Community Savings Bond Fund,2022-01-22,"PetroChina Co., Ltd.",9007,489,593857.8636114319,95.15349921631531,597.3165252485995,822.4227434801204
International Fixed Duration Fund,2022-01-21,Gazprom PJSC,1227,-104,145407.04024012014,434.6555478322264,34.95971391703451,306.6975863687559
European High Yield Bond Fund,2022-01-20,"Samsung Electronics Co., Ltd.",3328,-4870,846499.9788304417,118.51568991869043,74.80984001547169,706.6250093449606
Global Cross Asset Fund,2022-01-19,"UnitedHealth Group, Inc.",3731,-3707,480437.0231245453,955.9250088759609,705.1968911470336,227.72361927107931
Fixed Maturity 2025 Bond Fund,2022-01-18,"PetroChina Co., Ltd.",1430,1059,170745.5322811291,527.8372778336505,543.4851029872901,21.198420898869777
Global Short Term Credit Fund,2022-01-17,"UnitedHealth Group, Inc.",2709,1957,131598.27714898196,914.0858054238769,333.0323129978332,867.8238878793114
Impact Credit Strategies Fund,2022-01-16,Saudi Arabian Oil Co.,6782,-4940,965896.256898679,32.14256073610819,543.8356632417394,528.2902321854331
Target Maturity 2029 Bond Fund,2022-01-15,Bayerische Motoren Werke AG,2234,-2789,288719.76006181055,641.2767510430789,595.7328342496703,983.8168041072676
Sustainable Retail Fund,2022-01-14,Tencent Holdings Ltd.,9493,4740,909507.6520372122,313.884956907354,569.6330075820217,391.1853379547093
Community Savings Bond Fund,2022-01-13,Reliance Industries Ltd.,6205,4973,416479.4457812495,437.5107060055839,646.1284714003356,957.3042769195756
Global Short Term Credit Fund,2022-01-12,Bayerische Motoren Werke AG,2420,1276,392062.21614865836,874.3565212625429,940.8852191884636,618.9066908378338
Fixed Maturity 2027 Bond Fund,2022-01-11,"AT&T, Inc.",1768,363,703919.6799529376,980.2208838111574,394.8897448831852,517.0830211184948
European High Yield Bond Fund,2022-01-10,TotalEnergies SE,7034,3152,19784.45489770682,254.02703488901884,308.13989932300035,309.78150714794987
Sustainable Retail Fund,2022-01-09,"Samsung Electronics Co., Ltd.",9635,2973,344708.6264140866,948.7707524997686,48.05056191986802,827.0235778600135
Impact Credit Strategies Fund,2022-01-08,"AT&T, Inc.",4104,-4963,309619.2550698908,691.839679392902,155.60232628819918,830.506798907412
Global Short Term Credit Fund,2022-01-07,Shell Plc,5355,990,869417.1133412059,951.899775213698,115.18731772233126,422.76023688147626
Sustainable Retail Fund,2022-01-06,"AbbVie, Inc.",4305,438,533832.3036305754,566.7433286349979,342.0897450037376,730.0202105245386
Global Short Term Credit Fund,2022-01-05,Tencent Holdings Ltd.,2538,2677,370924.4556520094,961.1487221415559,613.8908215269049,452.76555642048925
European High Yield Bond Fund,2022-01-04,Deutsche Telekom AG,2331,-4527,273418.51719672093,893.5309035659593,55.87055222323758,742.2627015220096
Impact Credit Strategies Fund,2022-01-03,Industrial & Commercial Bank of China Ltd.,9168,-4942,594604.7107225228,137.30582381319158,730.388354410138,994.2482551514387
Fixed Maturity 2027 Bond Fund,2022-01-02,Saudi Arabian Oil Co.,7939,-2364,160156.409137931,317.6820278307132,403.45862047796186,269.87135062647053
International Fixed Duration Fund,2022-01-01,"Taiwan Semiconductor Manufacturing Co., Ltd.",9261,-2386,253742.7208236938,250.63255959738677,963.86947063057,637.7119326079337
Fixed Maturity 2025 Bond Fund,2021-12-31,"AT&T, Inc.",6558,2296,300676.0434141022,576.3783327897545,572.7011254400193,386.07918545549774
Fixed Maturity 2027 Bond Fund,2021-12-30,Bayerische Motoren Werke AG,6944,-1,611829.8581308717,804.771437190866,773.648689264604,552.8878480120183
International Fixed Duration Fund,2021-12-29,Bayerische Motoren Werke AG,8126,4603,379522.4094263107,761.8173324180124,862.5694199740627,875.4058074936958
Equity Diversified Selection Fund,2021-12-28,Comcast Corp.,1480,3276,510725.467118849,729.4816409606419,889.9578383122721,354.1001107502083
Equity Diversified Selection Fund,2021-12-27,Petróleo Brasileiro SA,6263,4725,653933.8811289208,381.51222697823,523.2771321830091,81.664419119824
Equity Diversified Selection Fund,2021-12-26,Petróleo Brasileiro SA,5094,-1203,956708.8847996104,148.24051281154968,402.77513284677025,800.9478133905295
Community Savings Bond Fund,2021-12-25,Tencent Holdings Ltd.,7167,-2326,767189.0231317248,218.47771809231327,564.9098397915551,559.4746066512023
Global Cross Asset Fund,2021-12-24,Pfizer Inc.,3793,1436,411204.2127663866,744.2606850518494,408.0496976012536,454.90693767064624
Target Maturity 2029 Bond Fund,2021-12-23,Tencent Holdings Ltd.,3892,-1880,750792.6206532842,156.0589956689676,248.30781959040914,191.4997164269683
Target Maturity 2029 Bond Fund,2021-12-22,Intel Corp.,2198,4282,950197.2391100205,230.7172378841859,330.6806288950008,101.92420438753868
Equity Diversified Selection Fund,2021-12-21,Gazprom PJSC,9011,-2924,504386.74019758357,430.3071263447563,240.44215767621293,285.9482040283081
Fixed Maturity 2025 Bond Fund,2021-12-20,China Mobile Ltd.,3372,-1810,416391.9637916608,81.39130638058835,276.7432542889131,721.7152207140765
Impact Credit Strategies Fund,2021-12-19,"Taiwan Semiconductor Manufacturing Co., Ltd.",2892,-213,87238.51201072919,220.56514016242852,102.67165986336315,417.653219353762
European High Yield Bond Fund,2021-12-18,"UnitedHealth Group, Inc.",6790,1056,893446.6669443536,158.2704460678242,432.1980935166656,574.5253115117652
Impact Credit Strategies Fund,2021-12-17,"Taiwan Semiconductor Manufacturing Co., Ltd.",2883,2494,253969.93798571904,951.808565082722,242.9310675371915,91.22509812635103
European High Yield Bond Fund,2021-12-16,Deutsche Telekom AG,6467,4400,73318.31785094815,199.61062668944024,453.8828868705313,132.01061309412574
Impact Credit Strategies Fund,2021-12-15,Pfizer Inc.,1797,-1423,541831.4517251722,863.1520130686898,794.2762518345303,21.19277258465349
Global Cross Asset Fund,2021-12-14,"PetroChina Co., Ltd.",9209,-259,847440.6495019099,123.65020935394232,453.82922971074544,676.5516060435746
Community Savings Bond Fund,2021-12-13,Pfizer Inc.,9235,1832,412568.70506682195,870.9764009794823,955.0657520026183,271.80997726353587
Community Savings Bond Fund,2021-12-12,Pfizer Inc.,1154,-2419,785236.7954574261,603.4394484107349,156.35852558274064,967.2573199748304
Equity Diversified Selection Fund,2021-12-11,"UnitedHealth Group, Inc.",5962,-1213,838032.0472111558,851.2088639923717,851.762340929496,315.37125222392353
International Fixed Duration Fund,2021-12-10,Tencent Holdings Ltd.,5080,3707,459859.5232316651,868.6752016519839,255.7755329322576,369.98185847735107
Sustainable Retail Fund,2021-12-09,"Samsung Electronics Co., Ltd.",9050,2103,595045.5152810689,600.409795360735,934.5941163464244,474.7949331332325
Community Savings Bond Fund,2021-12-08,TotalEnergies SE,6947,-4068,538573.1755535507,918.5172118610737,234.876447184168,325.94934130427094
Community Savings Bond Fund,2021-12-07,Pfizer Inc.,5320,-3337,939803.9030181565,589.5938085697767,749.4921681051575,819.2687896583907
Fixed Maturity 2027 Bond Fund,2021-12-06,"UnitedHealth Group, Inc.",2892,3748,728250.6282408437,715.4394270995915,71.49672185137045,877.4447418980028
Fixed Maturity 2027 Bond Fund,2021-12-05,"PetroChina Co., Ltd.",4424,2914,926089.3826624119,421.9196723971443,633.5153027885759,20.925718416226417
International Fixed Duration Fund,2021-12-04,"Taiwan Semiconductor Manufacturing Co., Ltd.",3015,4863,227809.87828135214,914.9270175262775,226.48747573678136,658.1150122757688
Sustainable Retail Fund,2021-12-03,Industrial & Commercial Bank of China Ltd.,7673,4184,317134.4833143438,825.9209135229064,673.4708162317537,689.2273970999923
Fixed Maturity 2025 Bond Fund,2021-12-02,Tencent Holdings Ltd.,7032,4820,80204.33844826701,175.0459805007582,639.4710442485984,961.8106278321004
Fixed Maturity 2027 Bond Fund,2021-12-01,Industrial & Commercial Bank of China Ltd.,5833,4883,504908.8771288496,580.6239717026517,924.4589208635606,376.6952052953069
Fixed Maturity 2025 Bond Fund,2021-11-30,Mercedes-Benz Group AG,1565,-148,875184.4425920517,897.859055796077,630.4096663142437,203.3271686642152
Global Short Term Credit Fund,2021-11-29,Saudi Arabian Oil Co.,8412,-3896,333578.23015940853,795.1338487223614,414.16632353340873,525.375258846762
Fixed Maturity 2027 Bond Fund,2021-11-28,"Taiwan Semiconductor Manufacturing Co., Ltd.",3018,-3730,136999.2858798382,962.9272528547117,201.63212680071106,453.0801277326061
Global Cross Asset Fund,2021-11-27,"Verizon Communications, Inc.",3314,4601,77761.79237976245,238.98867007811884,660.8764984586983,793.8141509480171
Sustainable Retail Fund,2021-11-26,"PetroChina Co., Ltd.",5412,-1354,453025.269798418,373.78503679917327,125.20293788360416,904.935686823185
International Fixed Duration Fund,2021-11-25,Pfizer Inc.,4883,87,172381.52718247566,512.11996913795,830.2316586525501,95.84094736006563
Global Short Term Credit Fund,2021-11-24,Intel Corp.,9216,4522,352642.98859625246,240.3424783269923,254.86120146947505,848.1136838624196
Sustainable Retail Fund,2021-11-23,Tencent Holdings Ltd.,7739,-277,821780.0100016125,400.10480263693086,528.9173092662425,909.8811694392767
Equity Diversified Selection Fund,2021-11-22,"Taiwan Semiconductor Manufacturing Co., Ltd.",8902,-2946,390206.9089299491,542.1638123800891,599.9878312861015,924.8945194817138
Global Cross Asset Fund,2021-11-21,Saudi Arabian Oil Co.,2189,4145,613772.2090737922,199.42581097132725,368.865090493512,766.6667602626928
Sustainable Retail Fund,2021-11-20,Gazprom PJSC,8156,1658,507138.4552645867,264.1209405155548,667.235039796524,744.6617352950371
Global Cross Asset Fund,2021-11-19,"Taiwan Semiconductor Manufacturing Co., Ltd.",8342,-3158,721347.960040336,133.59407481070653,257.7147893032087,24.747807252398694
Global Cross Asset Fund,2021-11-18,Petróleo Brasileiro SA,7884,-2198,164603.30939769308,716.247595786891,44.27832803882949,920.9897062649302
Fixed Maturity 2025 Bond Fund,2021-11-17,"Samsung Electronics Co., Ltd.",4157,2735,921236.6261187826,367.93640727077167,959.675058773587,357.99016167068885
