LP,FUND,VINTAGE,TOTAL_COMMITMENT_EU,COMMITMENT_CALLED_EU,COMMITMENT_UNCALLED_EU,DISTRIBUTED_EU,RECALLABLE_EU,NAV_EU,SFDR,ASSET_CLASS,COMMENTAIRES
B&E PARTNERS,Community Savings Bond Fund,2024,149,84,65,20,9,91,9,Private Debt,
B&E PARTNERS,European High Yield Bond Fund,2021,386,256,130,59,1,13,6,Private Equity,
B&E PARTNERS,Fixed Maturity 2027 Bond Fund,2019,237,110,126,34,7,75,8,Private Debt,
B&E PARTNERS,Fixed Maturity 2025 Bond Fund,2017,191,133,58,8,2,38,6,Private Equity,
B&E PARTNERS,Target Maturity 2029 Bond Fund,2018,402,24,378,2,0,94,9,Private Debt,
B&E PARTNERS,Impact Credit Strategies Fund,2022,198,56,142,23,8,96,9,Private Debt,
B&E PARTNERS,Global Cross Asset Fund,2023,165,27,138,11,4,80,6,Private Debt,
B&E PARTNERS,Equity Diversified Selection Fund,2019,81,21,60,8,1,59,6,Private Debt,
CABINET ROUX,Global Short Term Credit Fund,2019,305,65,240,20,2,100,6,Private Equity,
CABINET ROUX,International Fixed Duration Fund,2018,67,58,9,3,1,99,6,Private Debt,
CABINET ROUX,Community Savings Bond Fund,2021,48,43,5,7,1,21,6,Private Equity,
CABINET ROUX,European High Yield Bond Fund,2020,246,122,124,3,1,19,6,Private Debt,
CABINET ROUX,Fixed Maturity 2027 Bond Fund,2017,462,257,206,80,14,52,8,Private Equity,
CABINET ROUX,Fixed Maturity 2025 Bond Fund,2019,184,125,58,52,14,52,9,Private Equity,
CABINET ROUX,Target Maturity 2029 Bond Fund,2023,395,298,97,34,3,66,6,Private Debt,
CABINET ROUX,Impact Credit Strategies Fund,2018,432,227,204,111,23,68,6,Private Debt,
CABINET ROUX,Global Cross Asset Fund,2024,408,234,174,45,9,98,8,Private Debt,
CABINET ROUX,Equity Diversified Selection Fund,2024,321,133,188,63,19,52,6,Private Debt,
FIDAL,Global Short Term Credit Fund,2024,217,80,138,27,6,70,8,Private Debt,
FIDAL,International Fixed Duration Fund,2019,486,96,390,7,3,78,9,Private Equity,
FIDAL,Community Savings Bond Fund,2024,286,147,139,7,3,15,8,Private Equity,
FIDAL,European High Yield Bond Fund,2023,369,30,339,5,1,86,6,Private Equity,
FIDAL,Fixed Maturity 2027 Bond Fund,2020,86,23,64,4,2,80,6,Private Equity,
FIDAL,Fixed Maturity 2025 Bond Fund,2018,293,83,210,22,1,13,6,Private Debt,
FIDAL,Target Maturity 2029 Bond Fund,2021,18,2,15,0,0,64,6,Private Debt,
FIDAL,Impact Credit Strategies Fund,2018,227,110,118,14,7,28,8,Private Equity,
FIDAL,Global Cross Asset Fund,2021,36,17,19,6,1,96,9,Private Debt,
FIDAL,Equity Diversified Selection Fund,2022,284,233,52,49,21,46,8,Private Debt,
IFC EXPERTISE,Global Short Term Credit Fund,2017,81,32,50,14,6,16,9,Private Debt,
IFC EXPERTISE,International Fixed Duration Fund,2021,416,183,233,19,1,67,9,Private Equity,
IFC EXPERTISE,Community Savings Bond Fund,2023,458,116,342,4,0,82,9,Private Debt,
IFC EXPERTISE,European High Yield Bond Fund,2018,180,57,123,3,1,50,8,Private Debt,
IFC EXPERTISE,Fixed Maturity 2027 Bond Fund,2017,182,119,63,12,3,4,8,Private Equity,
IFC EXPERTISE,Fixed Maturity 2025 Bond Fund,2024,491,146,344,5,0,9,6,Private Equity,
IFC EXPERTISE,Target Maturity 2029 Bond Fund,2023,125,95,30,1,0,81,9,Private Debt,
IFC EXPERTISE,Impact Credit Strategies Fund,2023,150,78,72,23,7,73,9,Private Equity,
IFC EXPERTISE,Global Cross Asset Fund,2024,61,6,55,0,0,49,6,Private Debt,
IFC EXPERTISE,Equity Diversified Selection Fund,2018,370,246,125,82,39,8,9,Private Equity,
LH & ASSOCIÉS,Global Short Term Credit Fund,2018,496,427,69,149,3,92,8,Private Equity,
LH & ASSOCIÉS,International Fixed Duration Fund,2023,234,154,80,74,35,58,6,Private Debt,
LH & ASSOCIÉS,Community Savings Bond Fund,2023,426,119,307,6,2,1,8,Private Equity,
LH & ASSOCIÉS,European High Yield Bond Fund,2022,477,358,119,161,52,2,9,Private Equity,
LH & ASSOCIÉS,Fixed Maturity 2027 Bond Fund,2021,241,53,188,24,3,71,9,Private Debt,
LH & ASSOCIÉS,Fixed Maturity 2025 Bond Fund,2024,425,123,302,37,17,37,8,Private Debt,
LH & ASSOCIÉS,Target Maturity 2029 Bond Fund,2018,247,15,232,3,1,90,6,Private Equity,
LH & ASSOCIÉS,Impact Credit Strategies Fund,2018,285,58,227,22,7,21,6,Private Equity,
LH & ASSOCIÉS,Global Cross Asset Fund,2020,222,143,79,23,4,24,6,Private Debt,
LH & ASSOCIÉS,Equity Diversified Selection Fund,2019,132,116,16,13,1,54,6,Private Debt,
WÜEST PARTNER FRANCE,Global Short Term Credit Fund,2022,203,59,144,12,3,56,6,Private Equity,
WÜEST PARTNER FRANCE,International Fixed Duration Fund,2018,406,332,74,47,4,74,9,Private Debt,
WÜEST PARTNER FRANCE,Community Savings Bond Fund,2021,20,1,19,0,0,28,8,Private Equity,
WÜEST PARTNER FRANCE,European High Yield Bond Fund,2022,495,274,221,97,14,78,9,Private Debt,
WÜEST PARTNER FRANCE,Fixed Maturity 2027 Bond Fund,2017,358,54,304,1,0,23,9,Private Debt,
WÜEST PARTNER FRANCE,Fixed Maturity 2025 Bond Fund,2020,411,156,255,35,7,28,8,Private Equity,
WÜEST PARTNER FRANCE,Target Maturity 2029 Bond Fund,2019,105,38,67,16,5,90,6,Private Debt,
WÜEST PARTNER FRANCE,Impact Credit Strategies Fund,2023,352,285,67,64,16,4,9,Private Equity,
WÜEST PARTNER FRANCE,Global Cross Asset Fund,2021,410,328,82,25,10,82,9,Private Debt,
WÜEST PARTNER FRANCE,Equity Diversified Selection Fund,2017,176,37,139,18,6,78,9,Private Debt,
AGAMI FAMILY OFFICE,Global Short Term Credit Fund,2021,172,148,24,49,2,6,6,Private Debt,
AGAMI FAMILY OFFICE,International Fixed Duration Fund,2024,10,1,9,0,0,13,9,Private Debt,
AGAMI FAMILY OFFICE,Community Savings Bond Fund,2023,428,81,347,23,2,60,8,Private Debt,
AGAMI FAMILY OFFICE,European High Yield Bond Fund,2020,285,100,185,48,16,38,8,Private Debt,
AGAMI FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2017,176,96,81,22,2,37,6,Private Equity,
AGAMI FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2024,402,175,227,31,12,31,8,Private Debt,
AGAMI FAMILY OFFICE,Target Maturity 2029 Bond Fund,2024,376,201,176,90,44,18,8,Private Equity,
AGAMI FAMILY OFFICE,Impact Credit Strategies Fund,2020,485,116,369,37,10,68,9,Private Equity,
AGAMI FAMILY OFFICE,Global Cross Asset Fund,2017,475,16,459,7,2,43,6,Private Equity,
AGAMI FAMILY OFFICE,Equity Diversified Selection Fund,2019,418,332,86,100,38,16,9,Private Debt,
FAMILY PARTNERS,Global Short Term Credit Fund,2021,320,6,314,2,0,45,6,Private Debt,
FAMILY PARTNERS,International Fixed Duration Fund,2018,261,193,68,50,24,41,6,Private Equity,
FAMILY PARTNERS,Community Savings Bond Fund,2024,315,134,181,44,2,41,6,Private Debt,
FAMILY PARTNERS,European High Yield Bond Fund,2023,351,307,44,151,54,15,8,Private Debt,
FAMILY PARTNERS,Fixed Maturity 2027 Bond Fund,2020,173,57,117,10,1,31,9,Private Debt,
FAMILY PARTNERS,Fixed Maturity 2025 Bond Fund,2022,485,423,62,90,7,5,9,Private Debt,
FAMILY PARTNERS,Target Maturity 2029 Bond Fund,2020,369,35,333,5,2,87,8,Private Debt,
FAMILY PARTNERS,Impact Credit Strategies Fund,2021,242,89,153,39,1,27,8,Private Debt,
FAMILY PARTNERS,Global Cross Asset Fund,2022,321,240,81,30,5,24,8,Private Equity,
FAMILY PARTNERS,Equity Diversified Selection Fund,2019,119,106,14,30,11,85,9,Private Equity,
INTUITAE,Global Short Term Credit Fund,2023,80,21,58,10,0,65,6,Private Debt,
INTUITAE,International Fixed Duration Fund,2020,24,5,19,0,0,74,9,Private Debt,
INTUITAE,Community Savings Bond Fund,2017,323,65,257,18,1,71,9,Private Equity,
INTUITAE,European High Yield Bond Fund,2022,403,346,57,42,1,36,6,Private Debt,
INTUITAE,Fixed Maturity 2027 Bond Fund,2017,394,18,375,3,2,55,9,Private Equity,
INTUITAE,Fixed Maturity 2025 Bond Fund,2020,158,48,110,11,0,30,6,Private Equity,
INTUITAE,Target Maturity 2029 Bond Fund,2018,35,10,25,4,2,95,9,Private Debt,
INTUITAE,Impact Credit Strategies Fund,2024,388,348,41,83,40,94,9,Private Debt,
INTUITAE,Global Cross Asset Fund,2022,401,196,205,52,13,41,8,Private Equity,
INTUITAE,Equity Diversified Selection Fund,2020,24,20,3,0,0,90,9,Private Equity,
IVESTA FAMILY OFFICE,Global Short Term Credit Fund,2024,235,124,112,36,4,31,8,Private Equity,
IVESTA FAMILY OFFICE,International Fixed Duration Fund,2022,86,54,32,10,1,14,6,Private Debt,
IVESTA FAMILY OFFICE,Community Savings Bond Fund,2017,265,65,199,31,7,86,9,Private Equity,
IVESTA FAMILY OFFICE,European High Yield Bond Fund,2023,185,56,129,20,0,79,6,Private Equity,
IVESTA FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2019,416,52,363,8,4,37,9,Private Equity,
IVESTA FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2023,403,308,96,68,11,36,6,Private Equity,
IVESTA FAMILY OFFICE,Target Maturity 2029 Bond Fund,2021,22,3,19,1,0,43,8,Private Equity,
IVESTA FAMILY OFFICE,Impact Credit Strategies Fund,2019,466,47,419,11,2,43,9,Private Equity,
IVESTA FAMILY OFFICE,Global Cross Asset Fund,2020,496,349,146,47,8,63,9,Private Equity,
IVESTA FAMILY OFFICE,Equity Diversified Selection Fund,2020,144,34,110,9,3,35,8,Private Equity,
KEEPERS,Global Short Term Credit Fund,2017,67,59,8,12,1,20,6,Private Equity,
KEEPERS,International Fixed Duration Fund,2024,141,96,44,11,2,8,8,Private Equity,
KEEPERS,Community Savings Bond Fund,2024,169,31,138,10,2,13,9,Private Debt,
KEEPERS,European High Yield Bond Fund,2019,402,20,383,0,0,64,8,Private Debt,
KEEPERS,Fixed Maturity 2027 Bond Fund,2019,472,307,165,123,10,4,8,Private Debt,
KEEPERS,Fixed Maturity 2025 Bond Fund,2022,147,65,82,12,1,85,9,Private Debt,
KEEPERS,Target Maturity 2029 Bond Fund,2022,160,41,119,3,1,70,8,Private Equity,
KEEPERS,Impact Credit Strategies Fund,2021,311,274,37,34,15,68,6,Private Equity,
KEEPERS,Global Cross Asset Fund,2018,218,102,116,14,4,96,9,Private Equity,
KEEPERS,Equity Diversified Selection Fund,2023,51,15,36,3,0,82,6,Private Debt,
LETUS PRIVATE OFFICE,Global Short Term Credit Fund,2023,374,145,230,21,0,97,8,Private Debt,
LETUS PRIVATE OFFICE,International Fixed Duration Fund,2022,36,24,12,10,2,99,8,Private Equity,
LETUS PRIVATE OFFICE,Community Savings Bond Fund,2024,231,198,33,85,36,65,6,Private Debt,
LETUS PRIVATE OFFICE,European High Yield Bond Fund,2023,452,223,230,96,1,31,8,Private Debt,
LETUS PRIVATE OFFICE,Fixed Maturity 2027 Bond Fund,2024,195,169,26,54,9,66,6,Private Debt,
LETUS PRIVATE OFFICE,Fixed Maturity 2025 Bond Fund,2020,127,109,18,19,5,49,6,Private Equity,
LETUS PRIVATE OFFICE,Target Maturity 2029 Bond Fund,2024,236,180,56,2,1,92,6,Private Equity,
LETUS PRIVATE OFFICE,Impact Credit Strategies Fund,2020,396,5,391,1,0,100,9,Private Debt,
LETUS PRIVATE OFFICE,Global Cross Asset Fund,2020,253,217,35,39,4,69,9,Private Debt,
LETUS PRIVATE OFFICE,Equity Diversified Selection Fund,2019,156,101,55,19,1,23,6,Private Equity,
MJ & CIE,Global Short Term Credit Fund,2018,322,51,271,14,7,79,9,Private Equity,
MJ & CIE,International Fixed Duration Fund,2019,134,81,52,7,2,96,8,Private Debt,
MJ & CIE,Community Savings Bond Fund,2020,398,254,144,33,7,38,6,Private Equity,
MJ & CIE,European High Yield Bond Fund,2024,188,9,179,0,0,7,9,Private Debt,
MJ & CIE,Fixed Maturity 2027 Bond Fund,2020,282,40,243,13,1,68,9,Private Debt,
MJ & CIE,Fixed Maturity 2025 Bond Fund,2024,58,47,11,5,2,9,6,Private Debt,
MJ & CIE,Target Maturity 2029 Bond Fund,2021,456,85,371,17,5,33,9,Private Debt,
MJ & CIE,Impact Credit Strategies Fund,2017,345,6,340,0,0,42,9,Private Debt,
MJ & CIE,Global Cross Asset Fund,2019,178,110,67,2,1,97,6,Private Equity,
MJ & CIE,Equity Diversified Selection Fund,2018,78,53,25,10,2,3,6,Private Debt,
ALTHEO PARTNERS,Global Short Term Credit Fund,2021,175,123,52,3,1,43,6,Private Equity,
ALTHEO PARTNERS,International Fixed Duration Fund,2018,409,74,335,14,6,66,9,Private Equity,
ALTHEO PARTNERS,Community Savings Bond Fund,2019,407,238,169,89,19,29,8,Private Equity,
ALTHEO PARTNERS,European High Yield Bond Fund,2022,283,91,193,9,4,52,8,Private Debt,
ALTHEO PARTNERS,Fixed Maturity 2027 Bond Fund,2018,220,13,206,7,2,81,6,Private Equity,
ALTHEO PARTNERS,Fixed Maturity 2025 Bond Fund,2019,400,20,381,8,0,50,6,Private Equity,
ALTHEO PARTNERS,Target Maturity 2029 Bond Fund,2020,27,13,14,1,0,35,8,Private Equity,
ALTHEO PARTNERS,Impact Credit Strategies Fund,2020,122,57,64,18,1,89,9,Private Equity,
ALTHEO PARTNERS,Global Cross Asset Fund,2020,268,64,204,5,2,37,9,Private Debt,
ALTHEO PARTNERS,Equity Diversified Selection Fund,2022,379,177,202,24,3,79,6,Private Debt,
EVEN FO,Global Short Term Credit Fund,2019,298,72,226,3,1,60,9,Private Debt,
EVEN FO,International Fixed Duration Fund,2024,137,53,84,18,1,20,6,Private Equity,
EVEN FO,Community Savings Bond Fund,2021,211,71,140,23,10,2,8,Private Debt,
EVEN FO,European High Yield Bond Fund,2023,314,130,184,10,1,3,6,Private Equity,
EVEN FO,Fixed Maturity 2027 Bond Fund,2018,334,282,52,56,11,96,6,Private Equity,
EVEN FO,Fixed Maturity 2025 Bond Fund,2019,280,129,151,25,1,29,9,Private Equity,
EVEN FO,Target Maturity 2029 Bond Fund,2017,454,93,361,23,3,88,8,Private Equity,
EVEN FO,Impact Credit Strategies Fund,2021,317,209,108,0,0,60,6,Private Debt,
EVEN FO,Global Cross Asset Fund,2023,464,162,303,63,11,86,6,Private Equity,
EVEN FO,Equity Diversified Selection Fund,2023,348,108,239,25,3,46,6,Private Equity,
FOBS,Global Short Term Credit Fund,2024,362,269,93,122,20,24,9,Private Debt,
FOBS,International Fixed Duration Fund,2022,262,49,214,9,1,6,8,Private Equity,
FOBS,Community Savings Bond Fund,2022,246,109,137,2,0,34,9,Private Equity,
FOBS,European High Yield Bond Fund,2024,477,328,148,31,9,29,9,Private Equity,
FOBS,Fixed Maturity 2027 Bond Fund,2021,73,2,71,0,0,66,8,Private Equity,
FOBS,Fixed Maturity 2025 Bond Fund,2017,214,47,166,12,3,55,9,Private Debt,
FOBS,Target Maturity 2029 Bond Fund,2019,431,281,150,18,2,74,6,Private Debt,
FOBS,Impact Credit Strategies Fund,2020,463,218,246,25,0,78,9,Private Equity,
FOBS,Global Cross Asset Fund,2019,497,95,402,32,4,63,8,Private Equity,
FOBS,Equity Diversified Selection Fund,2021,103,75,27,12,0,7,9,Private Equity,
KIMPA,Global Short Term Credit Fund,2018,433,215,218,8,2,56,6,Private Debt,
KIMPA,International Fixed Duration Fund,2017,112,71,41,22,4,5,6,Private Equity,
KIMPA,Community Savings Bond Fund,2017,327,202,125,43,11,13,9,Private Debt,
KIMPA,European High Yield Bond Fund,2020,170,78,92,11,1,61,9,Private Debt,
KIMPA,Fixed Maturity 2027 Bond Fund,2021,358,282,76,19,2,84,9,Private Equity,
KIMPA,Fixed Maturity 2025 Bond Fund,2019,397,188,209,40,15,61,9,Private Equity,
KIMPA,Target Maturity 2029 Bond Fund,2019,100,74,26,16,1,66,9,Private Equity,
KIMPA,Impact Credit Strategies Fund,2018,473,281,192,130,22,14,6,Private Debt,
KIMPA,Global Cross Asset Fund,2020,190,165,25,37,5,9,8,Private Equity,
KIMPA,Equity Diversified Selection Fund,2018,129,7,122,2,1,51,8,Private Equity,
OCTAVE FAMILY OFFICE,Global Short Term Credit Fund,2020,70,7,63,2,0,68,9,Private Debt,
OCTAVE FAMILY OFFICE,International Fixed Duration Fund,2024,340,68,272,23,0,91,6,Private Equity,
OCTAVE FAMILY OFFICE,Community Savings Bond Fund,2023,370,173,198,52,12,59,9,Private Debt,
OCTAVE FAMILY OFFICE,European High Yield Bond Fund,2018,193,76,116,37,7,93,8,Private Equity,
OCTAVE FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2021,492,442,50,122,20,76,8,Private Debt,
OCTAVE FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2023,171,109,61,39,17,25,9,Private Equity,
OCTAVE FAMILY OFFICE,Target Maturity 2029 Bond Fund,2022,369,303,66,47,11,68,6,Private Debt,
OCTAVE FAMILY OFFICE,Impact Credit Strategies Fund,2019,267,169,98,22,6,13,8,Private Debt,
OCTAVE FAMILY OFFICE,Global Cross Asset Fund,2023,370,303,68,116,40,58,9,Private Equity,
OCTAVE FAMILY OFFICE,Equity Diversified Selection Fund,2019,200,24,176,3,1,69,9,Private Debt,
OFFICIUM ASSET MANAGEMENT,Global Short Term Credit Fund,2020,426,346,81,39,13,54,8,Private Debt,
OFFICIUM ASSET MANAGEMENT,International Fixed Duration Fund,2024,365,271,94,13,5,65,9,Private Debt,
OFFICIUM ASSET MANAGEMENT,Community Savings Bond Fund,2021,231,54,177,14,5,58,9,Private Debt,
OFFICIUM ASSET MANAGEMENT,European High Yield Bond Fund,2018,187,157,30,24,9,46,9,Private Equity,
OFFICIUM ASSET MANAGEMENT,Fixed Maturity 2027 Bond Fund,2018,191,53,139,18,4,88,6,Private Debt,
OFFICIUM ASSET MANAGEMENT,Fixed Maturity 2025 Bond Fund,2018,200,89,111,44,9,52,9,Private Debt,
OFFICIUM ASSET MANAGEMENT,Target Maturity 2029 Bond Fund,2024,315,174,141,39,13,71,8,Private Debt,
OFFICIUM ASSET MANAGEMENT,Impact Credit Strategies Fund,2019,455,27,428,8,1,37,6,Private Debt,
OFFICIUM ASSET MANAGEMENT,Global Cross Asset Fund,2021,273,129,144,48,11,83,8,Private Debt,
OFFICIUM ASSET MANAGEMENT,Equity Diversified Selection Fund,2022,92,66,27,11,3,17,8,Private Debt,
XELIS FAMILY OFFICE,Global Short Term Credit Fund,2020,22,11,11,1,0,49,9,Private Equity,
XELIS FAMILY OFFICE,International Fixed Duration Fund,2017,449,330,119,60,3,89,8,Private Debt,
XELIS FAMILY OFFICE,Community Savings Bond Fund,2023,77,62,15,11,5,89,6,Private Debt,
XELIS FAMILY OFFICE,European High Yield Bond Fund,2022,79,68,11,15,2,31,9,Private Equity,
XELIS FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2023,98,44,54,8,3,71,6,Private Equity,
XELIS FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2022,29,19,10,9,3,53,9,Private Debt,
XELIS FAMILY OFFICE,Target Maturity 2029 Bond Fund,2024,293,162,131,45,2,86,6,Private Equity,
XELIS FAMILY OFFICE,Impact Credit Strategies Fund,2022,416,159,257,74,32,76,6,Private Equity,
XELIS FAMILY OFFICE,Global Cross Asset Fund,2023,218,11,208,3,0,93,9,Private Equity,
XELIS FAMILY OFFICE,Equity Diversified Selection Fund,2019,32,2,29,1,0,89,8,Private Debt,
ARAMIS FINANCE,Global Short Term Credit Fund,2023,151,88,63,41,9,33,8,Private Debt,
ARAMIS FINANCE,International Fixed Duration Fund,2024,424,275,149,17,7,2,6,Private Debt,
ARAMIS FINANCE,Community Savings Bond Fund,2018,418,318,100,148,42,37,8,Private Equity,
ARAMIS FINANCE,European High Yield Bond Fund,2020,396,275,121,33,4,53,8,Private Debt,
ARAMIS FINANCE,Fixed Maturity 2027 Bond Fund,2018,93,14,78,3,0,41,8,Private Debt,
ARAMIS FINANCE,Fixed Maturity 2025 Bond Fund,2019,198,59,139,23,7,62,6,Private Equity,
ARAMIS FINANCE,Target Maturity 2029 Bond Fund,2023,61,12,49,1,0,88,9,Private Debt,
ARAMIS FINANCE,Impact Credit Strategies Fund,2017,361,298,64,68,15,94,9,Private Debt,
ARAMIS FINANCE,Global Cross Asset Fund,2021,94,14,81,4,2,74,6,Private Equity,
ARAMIS FINANCE,Equity Diversified Selection Fund,2017,292,180,112,61,26,34,6,Private Equity,
B DURAND CAPITAL PARTNERS,Global Short Term Credit Fund,2020,423,129,294,27,8,54,6,Private Debt,
B DURAND CAPITAL PARTNERS,International Fixed Duration Fund,2022,107,39,69,2,1,50,8,Private Equity,
B DURAND CAPITAL PARTNERS,Community Savings Bond Fund,2017,209,130,80,0,0,82,6,Private Equity,
B DURAND CAPITAL PARTNERS,European High Yield Bond Fund,2024,346,20,326,9,1,67,8,Private Debt,
B DURAND CAPITAL PARTNERS,Fixed Maturity 2027 Bond Fund,2024,226,168,58,14,1,52,6,Private Equity,
B DURAND CAPITAL PARTNERS,Fixed Maturity 2025 Bond Fund,2019,248,4,243,1,0,25,6,Private Equity,
B DURAND CAPITAL PARTNERS,Target Maturity 2029 Bond Fund,2020,364,228,136,92,21,50,6,Private Debt,
B DURAND CAPITAL PARTNERS,Impact Credit Strategies Fund,2023,273,35,238,17,8,100,8,Private Equity,
B DURAND CAPITAL PARTNERS,Global Cross Asset Fund,2019,53,20,33,7,0,90,6,Private Debt,
B DURAND CAPITAL PARTNERS,Equity Diversified Selection Fund,2023,115,7,108,3,1,23,6,Private Debt,
BEELONG FAMILY OFFICE,Global Short Term Credit Fund,2020,74,51,24,15,2,28,8,Private Equity,
BEELONG FAMILY OFFICE,International Fixed Duration Fund,2022,176,129,47,48,13,37,8,Private Equity,
BEELONG FAMILY OFFICE,Community Savings Bond Fund,2021,162,6,156,1,0,2,6,Private Debt,
BEELONG FAMILY OFFICE,European High Yield Bond Fund,2017,307,275,31,106,3,50,6,Private Debt,
BEELONG FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2022,280,123,157,49,20,4,8,Private Debt,
BEELONG FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2020,127,21,106,3,1,12,8,Private Debt,
BEELONG FAMILY OFFICE,Target Maturity 2029 Bond Fund,2021,385,2,384,1,0,33,9,Private Debt,
BEELONG FAMILY OFFICE,Impact Credit Strategies Fund,2018,209,137,71,10,4,95,6,Private Equity,
BEELONG FAMILY OFFICE,Global Cross Asset Fund,2021,167,79,88,39,2,26,6,Private Debt,
BEELONG FAMILY OFFICE,Equity Diversified Selection Fund,2017,232,96,136,43,21,94,6,Private Equity,
COLISÉE FAMILY OFFICE,Global Short Term Credit Fund,2017,342,125,217,26,9,84,9,Private Equity,
COLISÉE FAMILY OFFICE,International Fixed Duration Fund,2021,452,209,244,4,0,8,6,Private Debt,
COLISÉE FAMILY OFFICE,Community Savings Bond Fund,2019,452,212,240,76,11,72,8,Private Debt,
COLISÉE FAMILY OFFICE,European High Yield Bond Fund,2019,484,298,186,77,34,82,6,Private Debt,
COLISÉE FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2019,75,29,46,12,1,96,9,Private Equity,
COLISÉE FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2018,65,39,26,5,2,79,8,Private Debt,
COLISÉE FAMILY OFFICE,Target Maturity 2029 Bond Fund,2020,76,48,28,14,6,21,6,Private Equity,
COLISÉE FAMILY OFFICE,Impact Credit Strategies Fund,2021,250,158,92,73,22,6,9,Private Equity,
COLISÉE FAMILY OFFICE,Global Cross Asset Fund,2019,112,100,12,39,8,36,9,Private Equity,
COLISÉE FAMILY OFFICE,Equity Diversified Selection Fund,2024,77,63,14,21,6,81,6,Private Debt,
EXPERTS EN PATRIMOINE,Global Short Term Credit Fund,2022,288,89,199,5,1,49,9,Private Debt,
EXPERTS EN PATRIMOINE,International Fixed Duration Fund,2018,339,254,85,104,46,68,8,Private Equity,
EXPERTS EN PATRIMOINE,Community Savings Bond Fund,2019,278,90,188,30,5,47,8,Private Equity,
EXPERTS EN PATRIMOINE,European High Yield Bond Fund,2019,112,34,77,4,0,49,8,Private Debt,
EXPERTS EN PATRIMOINE,Fixed Maturity 2027 Bond Fund,2021,253,158,95,35,2,96,9,Private Equity,
EXPERTS EN PATRIMOINE,Fixed Maturity 2025 Bond Fund,2024,80,3,77,1,0,5,8,Private Equity,
EXPERTS EN PATRIMOINE,Target Maturity 2029 Bond Fund,2024,122,56,66,23,6,25,9,Private Debt,
EXPERTS EN PATRIMOINE,Impact Credit Strategies Fund,2022,44,7,37,2,1,52,6,Private Debt,
EXPERTS EN PATRIMOINE,Global Cross Asset Fund,2017,127,101,26,44,6,57,9,Private Debt,
EXPERTS EN PATRIMOINE,Equity Diversified Selection Fund,2023,171,17,154,1,0,80,6,Private Equity,
FLUENCE,Global Short Term Credit Fund,2022,120,24,96,10,4,95,6,Private Debt,
FLUENCE,International Fixed Duration Fund,2024,305,233,73,13,4,35,9,Private Debt,
FLUENCE,Community Savings Bond Fund,2021,202,177,25,32,15,62,9,Private Debt,
FLUENCE,European High Yield Bond Fund,2022,243,58,184,16,8,50,8,Private Debt,
FLUENCE,Fixed Maturity 2027 Bond Fund,2024,479,5,475,1,0,68,9,Private Equity,
FLUENCE,Fixed Maturity 2025 Bond Fund,2022,420,138,282,18,6,92,9,Private Debt,
FLUENCE,Target Maturity 2029 Bond Fund,2020,66,46,20,14,3,44,6,Private Equity,
FLUENCE,Impact Credit Strategies Fund,2024,167,1,166,0,0,25,8,Private Debt,
FLUENCE,Global Cross Asset Fund,2018,386,66,320,20,8,87,6,Private Equity,
FLUENCE,Equity Diversified Selection Fund,2018,27,2,26,1,0,83,9,Private Debt,
HEREST,Global Short Term Credit Fund,2022,52,13,39,3,0,43,6,Private Debt,
HEREST,International Fixed Duration Fund,2017,180,150,31,58,20,50,9,Private Equity,
HEREST,Community Savings Bond Fund,2024,347,304,44,11,1,54,9,Private Debt,
HEREST,European High Yield Bond Fund,2024,72,64,8,30,7,24,6,Private Equity,
HEREST,Fixed Maturity 2027 Bond Fund,2018,312,204,108,18,8,97,8,Private Debt,
HEREST,Fixed Maturity 2025 Bond Fund,2022,161,142,19,28,1,48,9,Private Equity,
HEREST,Target Maturity 2029 Bond Fund,2021,417,291,126,134,18,76,6,Private Equity,
HEREST,Impact Credit Strategies Fund,2018,167,57,110,21,7,28,6,Private Equity,
HEREST,Global Cross Asset Fund,2023,250,222,28,54,5,94,8,Private Debt,
HEREST,Equity Diversified Selection Fund,2018,401,322,79,43,12,22,8,Private Debt,
INKIPIT FINANCE,Global Short Term Credit Fund,2018,254,38,215,15,7,57,8,Private Equity,
INKIPIT FINANCE,International Fixed Duration Fund,2023,204,39,165,17,0,73,6,Private Equity,
INKIPIT FINANCE,Community Savings Bond Fund,2022,140,17,123,3,1,46,8,Private Equity,
INKIPIT FINANCE,European High Yield Bond Fund,2024,11,9,2,2,1,57,9,Private Equity,
INKIPIT FINANCE,Fixed Maturity 2027 Bond Fund,2022,470,156,314,22,0,36,9,Private Equity,
INKIPIT FINANCE,Fixed Maturity 2025 Bond Fund,2018,203,78,125,0,0,61,8,Private Debt,
INKIPIT FINANCE,Target Maturity 2029 Bond Fund,2019,114,22,92,9,0,6,6,Private Debt,
